datapoint,factValue,RIO
dp3526957,829653133.71,eba_GA:BE
dp3526957,567494.58,eba_GA:HR
dp3526957,210568010234.95,eba_GA:DE
dp3526957,162808569.08,eba_GA:CZ
dp3526957,1136606636.59,eba_GA:IE
dp3526957,6.69,eba_GA:AM
dp3526957,208348.05,eba_GA:CY
dp3526957,11987.48,eba_GA:IS
dp3526957,1373905.39,eba_GA:CL
dp3526957,271828830573.96,eba_GA:x1
dp3526957,791634425.46,eba_GA:JP
dp3526957,1202056.33,eba_GA:RO
dp3526957,33187.56,eba_GA:KR
dp3526957,1280933073.52,eba_GA:SE
dp3526957,14588044.94,eba_GA:LT
dp3526957,373055.21,eba_GA:SI
dp3526957,3753957405.51,eba_GA:LU
dp3526957,2475456,eba_GA:SK
dp3526957,8928563959.78,eba_GA:US
dp3526957,58772859.31,eba_GA:AU
dp3526957,2036235.1,eba_GA:BG
dp3526957,203685853.2,eba_GA:HK
dp3526957,5250887695.21,eba_GA:NL
dp3526957,84898420.71,eba_GA:HU
dp3526957,1325102716.94,eba_GA:NO
dp3526957,1120.59,eba_GA:LV
dp3526957,2882085483.95,eba_GA:CA
dp3526957,288076739295.92,eba_GA:x28
dp3527018,1508.26,eba_GA:DE
dp3527018,4056.4,eba_GA:x1
dp3527018,594.86,eba_GA:x28
dp3527018,885.29,eba_GA:NL
dp3527018,268.91,eba_GA:LU
dp3527018,288.11,eba_GA:IE
dp3527018,9.3,eba_GA:GB
dp3527018,501.66,eba_GA:FR
dp3529386,991.02,eba_GA:x1
dp3529386,296.75,eba_GA:FR
dp3529386,0.36,eba_GA:GB
dp3529386,215.95,eba_GA:IE
dp3529386,1.2,eba_GA:LU
dp3529386,14.53,eba_GA:NL
dp3529386,256.99,eba_GA:DE
dp3529386,205.24,eba_GA:x28
dp3529788,391339341.84,eba_GA:IE
dp3529788,473605917.55,eba_GA:JP
dp3529788,174689.99,eba_GA:LT
dp3529788,372901.92,eba_GA:SI
dp3529788,3177267279.92,eba_GA:x28
dp3529788,370002.8,eba_GA:SK
dp3529788,1987271415.97,eba_GA:FR
dp3529788,4205976750.03,eba_GA:US
dp3529788,130.43,eba_GA:LV
dp3529788,1343690895.93,eba_GA:LU
dp3529788,630120478.48,eba_GA:SE
dp3529788,69856.66,eba_GA:KR
dp3529788,1462400.99,eba_GA:RO
dp3529788,372949966.12,eba_GA:NO
dp3529788,1662376538.85,eba_GA:GB
dp3529788,2489.18,eba_GA:IS
dp3529788,1734912392.34,eba_GA:NL
dp3529788,467416.21,eba_GA:EE
dp3529788,88417431.25,eba_GA:HU
dp3529788,147084031.09,eba_GA:DK
dp3529788,799873.18,eba_GA:HR
dp3529788,79441979.2,eba_GA:BE
dp3529788,12381721367.45,eba_GA:DE
dp3529788,37904400.08,eba_GA:HK
dp3529788,12800747.89,eba_GA:AU
dp3529788,24362443.74,eba_GA:CZ
dp3529788,6.69,eba_GA:AM
dp3529788,208335.5,eba_GA:CY
dp3529788,1374081.62,eba_GA:CL
dp3529788,14921880412.25,eba_GA:x1
dp3529788,1087213794.44,eba_GA:CA
dp3529788,1467.16,eba_GA:BG
