datapoint,factValue,qEEA
dp3293061,120780035.2,eba_qAE:qx2012
dp3293062,7938281.05,eba_qAE:qx2012
dp3293062,21644336.75,eba_qAE:qx2014
dp3293063,24062011.9,eba_qAE:qx2014
dp3293063,209983.71,eba_qAE:qx2012
dp3293064,39202809.83,eba_qAE:qx2012
dp3293064,66862517.9,eba_qAE:qx2076
dp3293064,139242282.49,eba_qAE:qx2020
dp3293064,1166614939.78,eba_qAE:qx2014
dp3293065,693295935.82,eba_qAE:qx2014
dp3293065,39202809.83,eba_qAE:qx2012
dp3293066,139242282.49,eba_qAE:qx2020
dp3293066,473319003.96,eba_qAE:qx2014
dp3293066,66862517.9,eba_qAE:qx2076
dp3293067,69735098.82,eba_qAE:qx2018
dp3293067,593765688,eba_qAE:qx2014
dp3293067,192833874.76,eba_qAE:qx2012
dp3293068,11470393.01,eba_qAE:qx2014
dp3293069,69735098.82,eba_qAE:qx2018
dp3293069,91872121.83,eba_qAE:qx2014
dp3293069,192833874.76,eba_qAE:qx2012
dp3293077,237251377.97,eba_qAE:qx2076
dp3293077,207548722.98,eba_qAE:qx2074
dp3293077,60866467.36,eba_qAE:qx2020
dp3293077,5622688153.66,eba_qAE:qx2018
dp3293077,2786248422.44,eba_qAE:qx2014
dp3293077,8406970661,eba_qAE:qx2012
dp3293078,139648.64,eba_qAE:qx2074
dp3293078,19271957.7,eba_qAE:qx2076
dp3293078,33181411.95,eba_qAE:qx2018
dp3293078,1540335778.3,eba_qAE:qx2014
dp3293078,2172958973.57,eba_qAE:qx2012
dp3293079,1047173.63,eba_qAE:qx2018
dp3293079,1280888191.15,eba_qAE:qx2014
dp3293079,1427458320.15,eba_qAE:qx2012
dp3293080,1570591843.01,eba_qAE:qx2014
dp3293080,21913589.39,eba_qAE:qx2018
dp3293080,5389226.14,eba_qAE:qx2076
dp3293080,1164299629.5,eba_qAE:qx2012
dp3293081,1797224.52,eba_qAE:qx2076
dp3293081,824440184.4,eba_qAE:qx2014
dp3293081,305656460.36,eba_qAE:qx2012
dp3293082,14075753.73,eba_qAE:qx2012
dp3293083,0,eba_qAE:qx2020
dp3293083,1193301995.6,eba_qAE:qx2014
dp3293083,910570.25,eba_qAE:qx2012
dp3293084,0,eba_qAE:qx2020
dp3293084,497168730.93,eba_qAE:qx2014
dp3293085,69735098.82,eba_qAE:qx2018
dp3293085,91872121.83,eba_qAE:qx2014
dp3293085,128660282.36,eba_qAE:qx2012
dp3293086,140845289.17,eba_qAE:qx2014
dp3293087,113910970.19,eba_qAE:qx2012
dp3293087,785838337.04,eba_qAE:qx2014
dp3293105,945639648.89,eba_qAE:qx2014
dp3293105,90706123.31,eba_qAE:qx2012
dp3293149,245697308.55,eba_qAE:qx2074
dp3293149,2777385933.24,eba_qAE:qx2014
dp3293149,8404669783.64,eba_qAE:qx2012
dp3293149,237251377.97,eba_qAE:qx2076
dp3293149,46590857.27,eba_qAE:qx2020
dp3293149,5697024160.42,eba_qAE:qx2018
dp3293150,2709379.74,eba_qAE:qx2074
dp3293150,22156223.01,eba_qAE:qx2014
dp3293150,196831616.18,eba_qAE:qx2012
dp3293641,0.4,eba_qAE:qx2012
dp3293641,0.304625,eba_qAE:qx2014
dp3293676,0.300946,eba_qAE:qx2014
dp3293676,0.45,eba_qAE:qx2018
dp3293676,0.406542,eba_qAE:qx2012
dp3293677,0.4,eba_qAE:qx2076
dp3293677,0.1125,eba_qAE:qx2018
dp3293677,0.271949,eba_qAE:qx2014
dp3293677,0.38168,eba_qAE:qx2012
dp3293678,0.4,eba_qAE:qx2012
dp3293679,0.270067,eba_qAE:qx2014
dp3293679,0.4,eba_qAE:qx2012
dp3293679,0.4,eba_qAE:qx2020
dp3293680,0.278211,eba_qAE:qx2014
dp3293680,0.4,eba_qAE:qx2020
dp3293681,0.308523,eba_qAE:qx2014
dp3293682,0.241012,eba_qAE:qx2014
dp3293682,0.204709,eba_qAE:qx2018
dp3293682,0.41272,eba_qAE:qx2012
dp3293699,0.433308,eba_qAE:qx2012
dp3293699,0.283642,eba_qAE:qx2014
dp3293700,0.26425,eba_qAE:qx2014
dp3293700,0.4,eba_qAE:qx2012
dp3293701,0.31942,eba_qAE:qx2014
dp3293701,0.41272,eba_qAE:qx2012
dp3293701,0.204709,eba_qAE:qx2018
dp3293702,0.4,eba_qAE:qx2014
dp3293703,0.429192,eba_qAE:qx2012
dp3293703,0.283642,eba_qAE:qx2014
dp3293724,0.4,eba_qAE:qx2076
dp3293724,0.45,eba_qAE:qx2020
dp3293724,0.45,eba_qAE:qx2074
dp3293724,0.31054,eba_qAE:qx2014
dp3293724,0.39811,eba_qAE:qx2012
dp3293724,0.239337,eba_qAE:qx2018
dp3293725,0.240086,eba_qAE:qx2018
dp3293725,0.339252,eba_qAE:qx2014
dp3293725,0.39726,eba_qAE:qx2012
dp3293725,0.4,eba_qAE:qx2076
dp3293725,0.45,eba_qAE:qx2020
dp3293725,0.45,eba_qAE:qx2074
dp3293726,0.4,eba_qAE:qx2076
dp3293726,0.45,eba_qAE:qx2074
dp3293726,0.113156,eba_qAE:qx2018
dp3293726,0.287316,eba_qAE:qx2014
dp3293726,0.400548,eba_qAE:qx2012
dp3293727,0.4,eba_qAE:qx2076
dp3293727,0.262209,eba_qAE:qx2014
dp3293727,0.382978,eba_qAE:qx2012
dp3293742,2.5,eba_qAE:qx2012
dp3293742,2.5,eba_qAE:qx2014
dp3293743,2.5,eba_qAE:qx2014
dp3293744,2.5,eba_qAE:qx2014
dp3293745,2.5,eba_qAE:qx2012
dp3293746,2.5,eba_qAE:qx2076
dp3293746,2.5,eba_qAE:qx2014
dp3293746,2.5,eba_qAE:qx2012
dp3293747,2.5,eba_qAE:qx2018
dp3293747,2.5,eba_qAE:qx2014
dp3293747,2.5,eba_qAE:qx2012
dp3293747,2.5,eba_qAE:qx2076
dp3293748,2.5,eba_qAE:qx2018
dp3293748,2.5,eba_qAE:qx2014
dp3293748,2.5,eba_qAE:qx2012
dp3293749,2.5,eba_qAE:qx2076
dp3293749,2.5,eba_qAE:qx2074
dp3293749,2.5,eba_qAE:qx2018
dp3293749,2.5,eba_qAE:qx2014
dp3293749,2.5,eba_qAE:qx2012
dp3293750,2.5,eba_qAE:qx2020
dp3293750,2.5,eba_qAE:qx2074
dp3293750,2.5,eba_qAE:qx2076
dp3293750,2.5,eba_qAE:qx2018
dp3293750,2.5,eba_qAE:qx2012
dp3293750,2.5,eba_qAE:qx2014
dp3293752,2.5,eba_qAE:qx2014
dp3293752,2.5,eba_qAE:qx2012
dp3293753,2.5,eba_qAE:qx2014
dp3293753,2.5,eba_qAE:qx2012
dp3293754,2.5,eba_qAE:qx2076
dp3293754,2.5,eba_qAE:qx2074
dp3293754,2.5,eba_qAE:qx2020
dp3293754,2.5,eba_qAE:qx2018
dp3293754,2.5,eba_qAE:qx2014
dp3293754,2.5,eba_qAE:qx2012
dp3293755,2.5,eba_qAE:qx2018
dp3293755,2.5,eba_qAE:qx2014
dp3293755,2.5,eba_qAE:qx2012
dp3293756,2.5,eba_qAE:qx2014
dp3293756,2.5,eba_qAE:qx2012
dp3293756,2.5,eba_qAE:qx2018
dp3293757,2.5,eba_qAE:qx2014
dp3293758,2.5,eba_qAE:qx2012
dp3293758,2.5,eba_qAE:qx2014
dp3294214,0.010947,eba_qAE:qx2012
dp3294214,0.012001,eba_qAE:qx2014
dp3294215,0.168942,eba_qAE:qx2012
dp3294215,0.2,eba_qAE:qx2018
dp3294215,0.2216,eba_qAE:qx2014
dp3294216,0.115541,eba_qAE:qx2014
dp3294217,0.2,eba_qAE:qx2018
dp3294217,0.209957,eba_qAE:qx2014
dp3294217,0.168942,eba_qAE:qx2012
dp3294218,0.071459,eba_qAE:qx2014
dp3294218,0.1,eba_qAE:qx2020
dp3294219,0.020523,eba_qAE:qx2012
dp3294220,0.006432,eba_qAE:qx2076
dp3294220,0.006392,eba_qAE:qx2014
dp3294220,0.00622,eba_qAE:qx2012
dp3294221,0.000515,eba_qAE:qx2076
dp3294221,0.000513,eba_qAE:qx2074
dp3294221,0.000192,eba_qAE:qx2020
dp3294221,0.000521,eba_qAE:qx2018
dp3294221,0.00076,eba_qAE:qx2014
dp3294221,0.000663,eba_qAE:qx2012
dp3294277,1,eba_qAE:qx2012
dp3294277,1,eba_qAE:qx2014
dp3294278,0.000514,eba_qAE:qx2074
dp3294278,0.000572,eba_qAE:qx2076
dp3294278,0.000192,eba_qAE:qx2020
dp3294278,0.000526,eba_qAE:qx2018
dp3294278,0.001016,eba_qAE:qx2014
dp3294278,0.000815,eba_qAE:qx2012
dp3294279,0.00125,eba_qAE:qx2012
dp3294279,0.001224,eba_qAE:qx2014
dp3294279,0.001284,eba_qAE:qx2018
dp3294279,0.001201,eba_qAE:qx2074
dp3294279,0.001219,eba_qAE:qx2076
dp3294280,0.001873,eba_qAE:qx2018
dp3294280,0.00193,eba_qAE:qx2014
dp3294280,0.00187,eba_qAE:qx2012
dp3294281,0.004552,eba_qAE:qx2076
dp3294281,0.004335,eba_qAE:qx2018
dp3294281,0.003332,eba_qAE:qx2012
dp3294281,0.003387,eba_qAE:qx2014
dp3294282,0.012001,eba_qAE:qx2014
dp3294282,0.009597,eba_qAE:qx2012
dp3294283,0.031704,eba_qAE:qx2012
dp3294283,0.052262,eba_qAE:qx2014
dp3294283,0.1,eba_qAE:qx2020
dp3294284,0.038551,eba_qAE:qx2014
dp3294284,0.031704,eba_qAE:qx2012
dp3294285,0.457409,eba_qAE:qx2014
dp3294296,-1740836.59,eba_qAE:qx2012
dp3294296,-938342.62,eba_qAE:qx2018
dp3294296,-38260.1,eba_qAE:qx2074
dp3294296,-2212.1,eba_qAE:qx2020
dp3294296,-434696.79,eba_qAE:qx2014
dp3294296,-10880.51,eba_qAE:qx2076
dp3294297,-13934849.42,eba_qAE:qx2014
dp3294297,-217285.4,eba_qAE:qx2020
dp3294297,-16111.23,eba_qAE:qx2076
dp3294298,-29497746.51,eba_qAE:qx2014
dp3294298,-6638271.74,eba_qAE:qx2012
dp3294298,-6625512.01,eba_qAE:qx2018
dp3294299,-10208627.21,eba_qAE:qx2014
dp3294300,-14374049.39,eba_qAE:qx2014
dp3294302,-7195.36,eba_qAE:qx2076
dp3294302,-33669.02,eba_qAE:qx2074
dp3294302,-2212.1,eba_qAE:qx2020
dp3294302,-936128.41,eba_qAE:qx2018
dp3294302,-149325.94,eba_qAE:qx2014
dp3294302,-1081827.36,eba_qAE:qx2012
dp3294303,-2214.21,eba_qAE:qx2018
dp3294303,-4591.08,eba_qAE:qx2074
dp3294303,-3685.15,eba_qAE:qx2076
dp3294303,-659009.23,eba_qAE:qx2012
dp3294303,-285370.85,eba_qAE:qx2014
dp3294304,-1539.3,eba_qAE:qx2076
dp3294304,-467.12,eba_qAE:qx2018
dp3294304,-279713.38,eba_qAE:qx2014
dp3294304,-519893.34,eba_qAE:qx2012
dp3294305,-33413.47,eba_qAE:qx2012
dp3294306,-12260962.71,eba_qAE:qx2014
dp3294306,-17068.29,eba_qAE:qx2012
dp3294323,-43934.39,eba_qAE:qx2076
dp3294323,-1768969.82,eba_qAE:qx2014
dp3294323,-140916.45,eba_qAE:qx2012
dp3294324,-4915069.91,eba_qAE:qx2014
dp3294324,-6625512.01,eba_qAE:qx2018
dp3294324,-6638271.74,eba_qAE:qx2012
dp3294325,-16111.23,eba_qAE:qx2076
dp3294325,-217285.4,eba_qAE:qx2020
dp3294325,-26195812.12,eba_qAE:qx2014
dp3294325,-17068.29,eba_qAE:qx2012
dp3294326,-43934.39,eba_qAE:qx2076
dp3294326,-1768969.82,eba_qAE:qx2014
dp3294326,-107502.98,eba_qAE:qx2012
dp3294327,-13312.3,eba_qAE:qx2076
dp3294327,-824312.77,eba_qAE:qx2014
dp3294327,-403258.65,eba_qAE:qx2012
dp3294328,-2879.4,eba_qAE:qx2018
dp3294328,-1941200.09,eba_qAE:qx2014
dp3294328,-803697.58,eba_qAE:qx2012
dp3294329,-250664801.96,eba_qAE:qx2014
dp3294331,436963307.19,eba_qAE:qx2014
dp3294331,118909293.98,eba_qAE:qx2012
dp3294332,79657590.25,eba_qAE:qx2018
dp3294332,113635987.91,eba_qAE:qx2014
dp3294332,239423739.12,eba_qAE:qx2012
dp3294333,459479238.07,eba_qAE:qx2014
dp3294334,79657590.25,eba_qAE:qx2018
dp3294334,798978490.19,eba_qAE:qx2014
dp3294334,239423739.12,eba_qAE:qx2012
dp3294335,465708183.38,eba_qAE:qx2014
dp3294335,1055749.75,eba_qAE:qx2012
dp3294336,104434612.79,eba_qAE:qx2012
dp3294336,436963307.19,eba_qAE:qx2014
dp3294337,46050.77,eba_qAE:qx2074
dp3294337,2866898.26,eba_qAE:qx2018
dp3294337,288435457.03,eba_qAE:qx2014
dp3294337,649259199.45,eba_qAE:qx2012
dp3294337,5695763.3,eba_qAE:qx2076
dp3294338,801719829.33,eba_qAE:qx2018
dp3294338,202246840.91,eba_qAE:qx2014
dp3294338,1262802477.79,eba_qAE:qx2012
dp3294338,38742279.17,eba_qAE:qx2076
dp3294338,50316144.29,eba_qAE:qx2074
dp3294338,7739618.42,eba_qAE:qx2020
dp3294339,1912061677.23,eba_qAE:qx2012
dp3294339,44438042.47,eba_qAE:qx2076
dp3294339,50362195.06,eba_qAE:qx2074
dp3294339,7739618.42,eba_qAE:qx2020
dp3294339,804586727.59,eba_qAE:qx2018
dp3294339,490682297.94,eba_qAE:qx2014
dp3294597,443433.79,eba_qAE:qx2018
dp3294597,297658566.29,eba_qAE:qx2014
dp3294597,564839844.33,eba_qAE:qx2012
dp3294598,564824815.33,eba_qAE:qx2012
dp3294598,3193862.29,eba_qAE:qx2076
dp3294598,3569938.93,eba_qAE:qx2018
dp3294598,459459365.52,eba_qAE:qx2014
dp3294599,310079571.5,eba_qAE:qx2014
dp3294599,199197646.86,eba_qAE:qx2012
dp3294599,1241652.42,eba_qAE:qx2076
dp3294600,14474681.19,eba_qAE:qx2012
dp3294601,917271761.73,eba_qAE:qx2014
dp3294601,1055749.75,eba_qAE:qx2012
dp3294602,451563578.35,eba_qAE:qx2014
dp3294603,225863264.21,eba_qAE:qx2014
dp3526410,10,eba_qAE:qx2074
dp3526410,8,eba_qAE:qx2020
dp3526410,234,eba_qAE:qx2018
dp3526410,448,eba_qAE:qx2014
dp3526410,1702,eba_qAE:qx2012
dp3526410,22,eba_qAE:qx2076
dp3526563,0.4,eba_qAE:qx2074
dp3526563,0.4,eba_qAE:qx2020
dp3526563,0.515155,eba_qAE:qx2014
dp3526563,0.010836,eba_qAE:qx2012
dp3526600,1.860899,eba_qAE:qx2012
dp3526600,1.142288,eba_qAE:qx2018
dp3526600,1.236893,eba_qAE:qx2014
dp3526601,1.207686,eba_qAE:qx2014
dp3526602,1.142288,eba_qAE:qx2018
dp3526602,1.303008,eba_qAE:qx2014
dp3526602,1.860899,eba_qAE:qx2012
dp3526603,0.90827,eba_qAE:qx2014
dp3526604,0.768684,eba_qAE:qx2014
dp3526604,1.159438,eba_qAE:qx2012
dp3526605,1.028341,eba_qAE:qx2012
dp3526606,0.16291,eba_qAE:qx2018
dp3526606,0.292539,eba_qAE:qx2014
dp3526606,0.48512,eba_qAE:qx2012
dp3526606,0.592638,eba_qAE:qx2076
dp3526607,0.423458,eba_qAE:qx2018
dp3526607,0.232385,eba_qAE:qx2014
dp3526607,0.395696,eba_qAE:qx2012
dp3526608,0.295547,eba_qAE:qx2076
dp3526608,0.329762,eba_qAE:qx2074
dp3526608,0.187255,eba_qAE:qx2014
dp3526608,0.29879,eba_qAE:qx2012
dp3526608,0.086401,eba_qAE:qx2018
dp3526609,0.177734,eba_qAE:qx2076
dp3526609,0.242594,eba_qAE:qx2074
dp3526609,0.127157,eba_qAE:qx2020
dp3526609,0.143433,eba_qAE:qx2018
dp3526609,0.162328,eba_qAE:qx2014
dp3526609,0.202567,eba_qAE:qx2012
dp3526612,1.603627,eba_qAE:qx2014
dp3526618,0.242652,eba_qAE:qx2074
dp3526618,0.143096,eba_qAE:qx2018
dp3526618,0.127157,eba_qAE:qx2020
dp3526618,0.227438,eba_qAE:qx2012
dp3526618,0.187304,eba_qAE:qx2076
dp3526618,0.176109,eba_qAE:qx2014
dp3526619,0.690872,eba_qAE:qx2076
dp3526619,0.376109,eba_qAE:qx2014
dp3526619,0.651704,eba_qAE:qx2012
dp3526620,1.04607,eba_qAE:qx2012
dp3526620,0.556047,eba_qAE:qx2014
dp3526621,0.668993,eba_qAE:qx2014
dp3526621,1.159438,eba_qAE:qx2012
dp3526622,0.556047,eba_qAE:qx2014
dp3526622,1.043879,eba_qAE:qx2012
dp3526623,0.37105,eba_qAE:qx2014
dp3526623,0.155415,eba_qAE:qx2018
dp3526623,0.127157,eba_qAE:qx2020
dp3526623,0.242652,eba_qAE:qx2074
dp3526623,0.199943,eba_qAE:qx2076
dp3526623,0.309343,eba_qAE:qx2012
dp3526674,47989.96,eba_qAE:qx2074
dp3526674,5262.77,eba_qAE:qx2020
dp3526674,3578756.12,eba_qAE:qx2018
dp3526674,357169448.55,eba_qAE:qx2014
dp3526674,51879064.23,eba_qAE:qx2012
dp3526674,68705.61,eba_qAE:qx2076
dp3528249,207548722.98,eba_qAE:qx2074
dp3528249,10001594641.14,eba_qAE:qx2014
dp3528249,11638573017.12,eba_qAE:qx2012
dp3528249,244437828.63,eba_qAE:qx2076
dp3528249,60866467.36,eba_qAE:qx2020
dp3528249,5715384015.5,eba_qAE:qx2018
dp3528250,2919323.98,eba_qAE:qx2020
dp3528250,289768036.93,eba_qAE:qx2014
dp3528250,770451747.94,eba_qAE:qx2012
dp3528250,2709379.74,eba_qAE:qx2074
dp3528321,5789720022.26,eba_qAE:qx2018
dp3528321,9921784600.6,eba_qAE:qx2014
dp3528321,11897152870.44,eba_qAE:qx2012
dp3528321,415475691.63,eba_qAE:qx2076
dp3528321,245697308.55,eba_qAE:qx2074
dp3528321,185833139.76,eba_qAE:qx2020
