lei,scope,refPeriod,bank_name,country,institution_type,trea_eur,lr_exposure_eur,rwa_density,ov1_total_eur,ov1_abweichung,ov1_teile_summe,ov1_teile_stimmt,anteil_kredit,anteil_ccr,anteil_markt,anteil_operationell,kredit_sa_anteil,kredit_irb_anteil,ansatz,skalenverdacht,plausibel
259400DAAAR5M4A6SI23,IND,2025-12-31,Bank Pocztowy S.A.,Poland,Other highest EEA,789086408.47,2677248229.33,0.2947,789086408.47,0.0,789086408.47,true,0.8547,0.0002,,0.145,1.0,,SA,unbekannt,true
259400DZXF7UJKK2AY35,CON,2025-06-30,mBank S.A.,Poland,Large subsidiaries,28063915206.56,65956481777.68,0.4255,28063915206.56,0.0,28063915206.56,true,0.7806,0.0121,0.0088,0.1488,0.3295,0.5911,gemischt,false,true
259400DZXF7UJKK2AY35,CON,2025-09-30,mBank S.A.,Poland,Large subsidiaries,28368838044.0,66803479672.0,0.4247,28368838044.0,0.0,28368838044.0,true,0.7899,0.0119,0.0091,0.1463,0.3219,0.6064,gemischt,false,true
259400DZXF7UJKK2AY35,CON,2025-12-31,mBank S.A.,Poland,Large subsidiaries,30060352547.5,72522196582.24,0.4145,30060352547.5,0.0,30060352547.5,true,0.7556,0.0112,0.0082,0.1828,0.3088,0.625,gemischt,false,true
259400DZXF7UJKK2AY35,CON,2026-03-31,mBank S.A.,Poland,Large subsidiaries,31685655124.26,73794686853.45,0.4294,,,,,,,,,0.29,0.6493,gemischt,false,true
259400GZKACLCASLRW25,IND,2025-12-31,KRAKOWSKI BANK SPOLDZIELCZY,Poland,Other highest EEA,319981622.28,1443509376.93,0.2217,319981622.28,0.0,319981622.28,true,0.8322,,,0.1678,1.0,,SA,unbekannt,true
259400L03ZTD1W99FZ91,IND,2025-12-31,BANK SPOLDZIELCZY W BRODNICY,Poland,Other highest EEA,286453574.42,1026432101.83,0.2791,286453574.42,0.0,286453574.42,true,0.8788,,,0.1212,1.0,,SA,unbekannt,true
259400LGXW3K0GDAG361,CON,2025-06-30,Santander Bank Polska S.A.,Poland,Large subsidiaries,34947848129.21,77520265887.02,0.4508,34947848129.21,0.0,34947848129.21,true,0.7742,0.0312,0.024,0.1476,1.0,,SA,false,true
259400LGXW3K0GDAG361,CON,2025-09-30,Santander Bank Polska S.A.,Poland,Large subsidiaries,34868860652.24,78154126104.28,0.4462,34868860652.01,0.0,34868860651.77,true,0.7783,0.0285,0.0238,0.147,1.0,,SA,false,true
259400LGXW3K0GDAG361,CON,2025-12-31,Santander Bank Polska S.A.,Poland,Large subsidiaries,31429498126.08,76653950965.3,0.41,31429498126.08,0.0,31429498126.08,true,0.7551,0.0315,0.021,0.165,1.0,,SA,false,true
259400LGXW3K0GDAG361,CON,2026-03-31,Santander Bank Polska S.A.,Poland,Large subsidiaries,32533929542.31,76458720192.67,0.4255,32533929542.31,0.0,32533929542.31,true,0.7678,0.0335,0.02,0.1519,1.0,,SA,false,true
259400OFDZ9KPZEO8K78,CON,2025-06-30,BANK MILLENNIUM SA,Poland,Large subsidiaries,51106510892.0,151075519871.0,0.3383,51476637155.0,0.007242,51476637155.0,true,0.6539,0.0049,0.0074,0.2378,0.7359,0.2515,gemischt,unbekannt,true
259400P9KF07OP2K5P83,IND,2025-06-30,SGB-Bank S.A.,Poland,Large highest EEA,1460.76,7136.19,0.2047,,,,,,,,,,,unbekannt,unbekannt,true
259400QHDOZWMJ103294,CON,2025-06-30,ALIOR BANK S.A.,Poland,Other highest EEA,13790657168.0,25802854080.0,0.5345,,,,,,,,,,,unbekannt,false,true
259400QHDOZWMJ103294,CON,2025-12-31,ALIOR BANK S.A.,Poland,Other highest EEA,14130023130.0,26402198040.0,0.5352,14130023130.0,0.0,14130023130.0,true,0.882,0.0136,0.006,0.098,1.0,,SA,false,true
259400WNAOMT2E4OIS38,CON,2025-12-31,NEST BANK S.A.,Poland,Other highest EEA,745937.91,2410089.93,0.3095,745938.14,0.0,745938.14,true,0.8629,0.0,,0.137,1.0,,SA,unbekannt,true
259400YLRTOBISHBVX41,CON,2025-12-31,ING Bank Slaski S.A.,Poland,Large subsidiaries,30354927767.96,72835670955.85,0.4168,30354927768.2,0.0,30354927768.2,true,0.8621,0.0053,0.0128,0.1128,0.4661,0.44,gemischt,unbekannt,true
