land,refPeriod,n_traeger,auslandsexposure_eur,hhi,groesster_traeger,groesster_anteil,top3_anteil,urteil,tauschverdacht
Afghanistan,2025-06-30,14,3590073.80,0.2633,Groupe BPCE,0.3263,0.8150,gestreut,nein
Albania,2025-06-30,24,2441444410.26,0.5753,Raiffeisen Bank International AG,0.6970,0.9989,konzentriert,nein
Algeria,2025-06-30,21,2701138808.53,0.4521,Groupe BPCE,0.4862,0.9835,gestreut,nein
American Samoa,2025-06-30,1,248.00,1.0000,Groupe BPCE,1.0000,1.0000,zu_duenn,nein
Andorra,2025-06-30,19,72715294.51,0.5660,"CaixaBank, S.A.",0.7391,0.9093,konzentriert,nein
Angola,2025-06-30,16,603803720.67,0.4431,"CaixaBank, S.A.",0.5267,0.9661,konzentriert,nein
Anguilla,2025-06-30,5,527241024.18,0.6685,"Banco Bilbao Vizcaya Argentaria, S.A.",0.8061,0.9999,konzentriert,nein
Antarctica,2025-06-30,2,729.88,0.7074,ING Groep N.V.,0.8221,1.0000,zu_duenn,nein
Antigua and Barbuda,2025-06-30,8,1235630.07,0.6726,Intesa Sanpaolo S.p.A.,0.8093,0.9968,konzentriert,nein
Argentina,2025-06-30,30,10471160820.88,0.8785,"Banco Bilbao Vizcaya Argentaria, S.A.",0.9366,0.9819,konzentriert,nein
Armenia,2025-06-30,28,34474586.27,0.1271,Belfius Bank,0.2089,0.5064,gestreut,nein
Aruba,2025-06-30,8,2054440.10,0.5059,ING Groep N.V.,0.6681,0.9938,konzentriert,nein
Australia,2025-06-30,59,88540822554.88,0.3742,ING Groep N.V.,0.5908,0.7738,konzentriert,nein
Austria,2025-06-30,47,146986384703.92,0.6460,"UNICREDIT, SOCIETA' PER AZIONI",0.7970,0.9139,konzentriert,nein
Azerbaijan,2025-06-30,23,493429901.06,0.3903,Intesa Sanpaolo S.p.A.,0.5229,0.9356,konzentriert,nein
Bahamas,2025-06-30,26,508142828.07,0.2300,AIB Group plc,0.3152,0.7964,gestreut,nein
Bahrain,2025-06-30,23,484581502.35,0.2728,Groupe BPCE,0.3111,0.8913,gestreut,nein
Bangladesh,2025-06-30,27,772226233.84,0.6186,COMMERZBANK Aktiengesellschaft,0.7679,0.9686,konzentriert,nein
Barbados,2025-06-30,19,536619019.21,0.8390,ING Groep N.V.,0.9138,0.9857,konzentriert,nein
Belarus,2025-06-30,24,85160314.13,0.3265,"UNICREDIT, SOCIETA' PER AZIONI",0.5001,0.8319,konzentriert,nein
Belgium,2025-06-30,67,566945321653.86,0.4487,BNP Paribas,0.5828,0.9292,konzentriert,nein
Belize,2025-06-30,9,445864.86,0.5547,Banque Internationale à Luxembourg,0.7119,0.9510,konzentriert,nein
Benin,2025-06-30,10,899469918.52,0.7372,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.8522,0.9997,konzentriert,nein
Bermuda,2025-06-30,28,21644186304.41,0.3928,ING Groep N.V.,0.6081,0.7879,konzentriert,nein
Bhutan,2025-06-30,3,1431.47,0.4424,ING Groep N.V.,0.5589,1.0000,konzentriert,nein
"Bolivia, Plurinational State of",2025-06-30,15,3105209.88,0.3244,Groupe BPCE,0.5246,0.7810,konzentriert,nein
"Bonaire, Sint Eustatius and Saba",2025-06-30,6,980457.26,0.5393,Svenska Handelsbanken - gruppen,0.6501,0.9954,konzentriert,nein
Bosnia and Herzegovina,2025-06-30,25,7647311370.62,0.3012,"UNICREDIT, SOCIETA' PER AZIONI",0.4344,0.8532,gestreut,nein
Botswana,2025-06-30,16,110280351.20,0.3351,ING Groep N.V.,0.4334,0.9758,gestreut,nein
Brazil,2025-06-30,35,7853644843.08,0.1459,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.2183,0.5783,gestreut,nein
British Indian Ocean Territory,2025-06-30,2,249.65,0.9869,Groupe BPCE,0.9934,1.0000,zu_duenn,nein
Brunei Darussalam,2025-06-30,12,2817873.47,0.2297,ING Groep N.V.,0.3890,0.7474,gestreut,nein
Bulgaria,2025-06-30,54,14478668204.21,0.7812,"UNICREDIT, SOCIETA' PER AZIONI",0.8824,0.9456,konzentriert,nein
Burkina Faso,2025-06-30,10,938600.15,0.3717,Groupe BPCE,0.4701,0.9555,gestreut,nein
Burundi,2025-06-30,9,2753973.17,0.5923,Intesa Sanpaolo S.p.A.,0.7262,0.9946,konzentriert,nein
Cabo Verde,2025-06-30,12,1870968.19,0.4103,Groupe BPCE,0.4815,0.9501,gestreut,nein
Cambodia,2025-06-30,14,1007000814.01,0.4908,Groupe BPCE,0.4965,0.9987,gestreut,nein
Cameroon,2025-06-30,19,25153576.59,0.4325,Citibank Europe plc,0.5971,0.9457,konzentriert,nein
Canada,2025-06-30,46,26152837624.21,0.1400,ING Groep N.V.,0.3051,0.5496,gestreut,nein
Cayman Islands,2025-06-30,31,29904411246.07,0.3030,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.4991,0.7656,gestreut,nein
Central African Republic,2025-06-30,5,448522.13,0.6107,Groupe BPCE,0.7527,0.9809,konzentriert,nein
Chad,2025-06-30,6,11397798.18,0.4999,Groupe BPCE,0.5208,0.9999,konzentriert,nein
Chile,2025-06-30,40,12218724603.65,0.1801,"Banco Bilbao Vizcaya Argentaria, S.A.",0.3143,0.6426,gestreut,nein
China,2025-06-30,38,14105341891.85,0.1845,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.3151,0.6322,gestreut,nein
Christmas Island,2025-06-30,1,344.00,1.0000,Groupe BPCE,1.0000,1.0000,zu_duenn,nein
Colombia,2025-06-30,30,18917247539.03,0.8736,"Banco Bilbao Vizcaya Argentaria, S.A.",0.9338,0.9809,konzentriert,nein
Comoros,2025-06-30,4,12097.74,0.7059,Groupe BPCE,0.8228,0.9991,konzentriert,nein
Congo,2025-06-30,14,273843648.77,0.6414,Citibank Europe plc,0.7895,0.9727,konzentriert,nein
"Congo, The Democratic Republic of the",2025-06-30,13,13485955.54,0.2741,Citibank Europe plc,0.4148,0.8470,gestreut,nein
Cook Islands,2025-06-30,1,80207.97,1.0000,Nordea Bank Abp,1.0000,1.0000,zu_duenn,nein
Costa Rica,2025-06-30,21,35146830.82,0.4853,Raiffeisen Bank International AG,0.6822,0.8436,konzentriert,nein
Croatia,2025-06-30,53,44133031015.36,0.2378,"UNICREDIT, SOCIETA' PER AZIONI",0.2799,0.7968,gestreut,nein
Cuba,2025-06-30,17,39119276.77,0.7208,Intesa Sanpaolo S.p.A.,0.8436,0.9558,konzentriert,nein
Curaçao,2025-06-30,17,118129418.87,0.7491,ING Groep N.V.,0.8546,0.9940,konzentriert,nein
Cyprus,2025-06-30,61,18317606526.99,0.3536,Bank of Cyprus Holdings Public Limited Company,0.5783,0.7231,konzentriert,nein
Czechia,2025-06-30,67,167388665039.81,0.2081,"Česká spořitelna, a.s.",0.2887,0.7534,gestreut,nein
Côte d'Ivoire,2025-06-30,18,242981097.89,0.3385,Citibank Europe plc,0.4236,0.9822,gestreut,nein
Denmark,2025-06-30,68,128819095920.08,0.5222,Nordea Bank Abp,0.7154,0.8461,konzentriert,nein
Djibouti,2025-06-30,5,394973683.21,0.4997,Groupe BPCE,0.5071,1.0000,konzentriert,nein
Dominica,2025-06-30,8,1137521.20,0.8243,Nordea Bank Abp,0.9046,0.9954,konzentriert,nein
Dominican Republic,2025-06-30,20,211417046.79,0.8373,COMMERZBANK Aktiengesellschaft,0.9129,0.9829,konzentriert,nein
Ecuador,2025-06-30,18,235693034.79,0.6489,COMMERZBANK Aktiengesellschaft,0.7976,0.9393,konzentriert,nein
Egypt,2025-06-30,31,3370508430.85,0.2408,Intesa Sanpaolo S.p.A.,0.3818,0.7602,gestreut,nein
El Salvador,2025-06-30,14,18309228.58,0.7469,Nordea Bank Abp,0.8624,0.9164,konzentriert,nein
Equatorial Guinea,2025-06-30,6,1595174.65,0.9284,"CaixaBank, S.A.",0.9631,0.9992,konzentriert,nein
Eritrea,2025-06-30,6,5814.01,0.8517,Nordea Bank Abp,0.9217,0.9813,konzentriert,nein
Estonia,2025-06-30,56,22052378611.37,0.3831,Swedbank - Grupp,0.5028,0.9081,konzentriert,nein
Eswatini,2025-06-30,9,948582.51,0.4992,Citibank Europe plc,0.6693,0.9845,konzentriert,nein
Ethiopia,2025-06-30,21,268076864.94,0.3887,Intesa Sanpaolo S.p.A.,0.4327,0.9848,gestreut,nein
Falkland Islands (Malvinas),2025-06-30,3,22789979.65,0.9999,"CaixaBank, S.A.",1.0000,1.0000,konzentriert,nein
Faroe Islands,2025-06-30,9,470621128.48,0.8056,Nordea Bank Abp,0.8912,0.9998,konzentriert,nein
Fiji,2025-06-30,10,1804290374.29,0.4997,Groupe BPCE,0.5000,1.0000,gestreut,nein
Finland,2025-06-30,54,60977192711.74,0.2800,Danske Bank A/S,0.4820,0.7310,gestreut,nein
France,2025-06-30,66,176069132205.21,0.0691,ING Groep N.V.,0.1761,0.3550,gestreut,nein
French Guiana,2025-06-30,6,1506042.01,0.9538,ING Groep N.V.,0.9765,0.9963,konzentriert,nein
French Polynesia,2025-06-30,10,434215582.27,0.9971,Groupe BPCE,0.9986,0.9996,konzentriert,nein
French Southern Territories,2025-06-30,2,2420.69,0.7366,Groupe BPCE,0.8440,1.0000,zu_duenn,nein
Gabon,2025-06-30,14,16631626.67,0.5120,Groupe BPCE,0.6736,0.9691,konzentriert,nein
Gambia,2025-06-30,12,505244.28,0.3146,"CaixaBank, S.A.",0.4440,0.8958,gestreut,nein
Georgia,2025-06-30,26,43553993.76,0.3365,Citibank Europe plc,0.5377,0.8126,konzentriert,nein
Germany,2025-06-30,67,794951555077.98,0.2290,ING Groep N.V.,0.3384,0.7467,gestreut,nein
Ghana,2025-06-30,23,789459742.58,0.2946,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.3589,0.9265,gestreut,nein
Gibraltar,2025-06-30,21,37035593.44,0.2696,Bank of Ireland Group plc,0.3828,0.8671,gestreut,nein
Greece,2025-06-30,37,4441313447.40,0.1260,BNP Paribas,0.2085,0.5070,gestreut,nein
Greenland,2025-06-30,6,229718712.31,0.9296,Skandinaviska Enskilda Banken - gruppen,0.9635,1.0000,konzentriert,nein
Grenada,2025-06-30,7,191495.89,0.3925,"CaixaBank, S.A.",0.4440,0.9328,gestreut,nein
Guadeloupe,2025-06-30,7,1201945.60,0.6266,ING Groep N.V.,0.7793,0.9575,konzentriert,nein
Guam,2025-06-30,4,847.00,0.8212,"CaixaBank, S.A.",0.9044,0.9823,konzentriert,nein
Guatemala,2025-06-30,19,332342120.50,0.9508,COMMERZBANK Aktiengesellschaft,0.9749,0.9963,konzentriert,nein
Guernsey,2025-06-30,24,5109856808.25,0.2089,Nordea Bank Abp,0.3273,0.7447,gestreut,nein
Guinea,2025-06-30,12,166308145.00,0.3388,ING Groep N.V.,0.4311,0.9840,gestreut,nein
Guinea-Bissau,2025-06-30,9,1078366.49,0.5535,"Banco Comercial Português, SA",0.7059,0.9984,konzentriert,nein
Guyana,2025-06-30,8,3561573.80,0.5341,BPER Banca S.p.A.,0.7103,0.9231,konzentriert,nein
Haiti,2025-06-30,8,202640.95,0.3272,Groupe BPCE,0.3947,0.9462,gestreut,nein
Holy See (Vatican City State),2025-06-30,6,27038.85,0.8727,AIB Group plc,0.9329,0.9959,konzentriert,nein
Honduras,2025-06-30,15,253043526.80,0.8439,COMMERZBANK Aktiengesellschaft,0.9168,0.9969,konzentriert,nein
Hong Kong,2025-06-30,54,33557196206.88,0.1559,BNP Paribas,0.2705,0.5769,gestreut,nein
Hungary,2025-06-30,60,27011389861.87,0.1869,"UNICREDIT, SOCIETA' PER AZIONI",0.3136,0.7010,gestreut,nein
Iceland,2025-06-30,46,1062345399.16,0.3112,Nordea Bank Abp,0.4821,0.8676,gestreut,nein
India,2025-06-30,33,13979193584.60,0.6949,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.8276,0.9643,konzentriert,nein
Indonesia,2025-06-30,29,3036370804.16,0.2907,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.4611,0.8006,gestreut,nein
"Iran, Islamic Republic of",2025-06-30,15,9462091.10,0.1857,Nordea Bank Abp,0.2896,0.6684,gestreut,nein
Iraq,2025-06-30,18,64749761.57,0.5443,"UNICREDIT, SOCIETA' PER AZIONI",0.7199,0.9269,konzentriert,nein
Ireland,2025-06-30,69,122127354573.21,0.1419,ING Groep N.V.,0.3123,0.5528,gestreut,nein
Isle of Man,2025-06-30,21,1414314869.86,0.1979,ING Groep N.V.,0.3781,0.6045,gestreut,nein
Israel,2025-06-30,40,1743316037.56,0.1772,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.3693,0.5587,gestreut,nein
Italy,2025-06-30,46,93800259628.54,0.1636,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.2933,0.6241,gestreut,nein
Jamaica,2025-06-30,15,63972670.67,0.8792,"CaixaBank, S.A.",0.9362,0.9928,konzentriert,nein
Japan,2025-06-30,39,18730398399.41,0.2136,ING Groep N.V.,0.4005,0.6686,gestreut,nein
Jersey,2025-06-30,29,9721349416.12,0.1840,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.3516,0.6429,gestreut,nein
Jordan,2025-06-30,23,53865011.25,0.1673,Groupe BPCE,0.2380,0.6364,gestreut,nein
Kazakhstan,2025-06-30,27,397983087.71,0.1647,ING Groep N.V.,0.2279,0.6416,gestreut,nein
Kenya,2025-06-30,26,98197018.90,0.5955,Intesa Sanpaolo S.p.A.,0.7638,0.8931,konzentriert,nein
"Korea, Democratic People's Republic of",2025-06-30,5,48149802.49,0.6586,"Banque et Caisse d´Epargne de l´Etat, Luxembourg",0.7966,1.0000,konzentriert,nein
"Korea, Republic of",2025-06-30,48,13039438459.36,0.2276,BNP Paribas,0.3821,0.7536,gestreut,nein
Kosovo,2025-06-30,6,59882067.43,0.9522,Landesbank Hessen-Thüringen Girozentrale,0.9757,0.9996,konzentriert,nein
Kuwait,2025-06-30,27,334648762.89,0.5844,ING Groep N.V.,0.7546,0.9101,konzentriert,nein
Kyrgyzstan,2025-06-30,18,2961809.27,0.2930,Raiffeisen Bank International AG,0.3816,0.8602,gestreut,nein
Lao People's Democratic Republic,2025-06-30,13,185511453.18,0.4914,Natixis,0.5072,0.9957,konzentriert,nein
Latvia,2025-06-30,54,10718631748.75,0.3723,Swedbank - Grupp,0.4933,0.9087,gestreut,nein
Lebanon,2025-06-30,24,26918985.31,0.1987,Groupe BPCE,0.3621,0.6560,gestreut,nein
Lesotho,2025-06-30,8,184585.52,0.5926,Nordea Bank Abp,0.7361,0.9805,konzentriert,nein
Liberia,2025-06-30,17,6259698193.19,0.2340,ING Groep N.V.,0.4116,0.6955,gestreut,nein
Libya,2025-06-30,17,664453.85,0.7020,"CaixaBank, S.A.",0.8259,0.9782,konzentriert,nein
Liechtenstein,2025-06-30,30,1181177880.98,0.1657,COMMERZBANK Aktiengesellschaft,0.2421,0.6111,gestreut,nein
Lithuania,2025-06-30,58,25153205581.88,0.3342,Swedbank - Grupp,0.4423,0.8739,gestreut,nein
Luxembourg,2025-06-30,68,508366132381.88,0.1539,Groupe BPCE,0.2531,0.6231,gestreut,nein
Macao,2025-06-30,9,80179067.52,0.4898,"Banco Comercial Português, SA",0.6184,0.9735,konzentriert,nein
Madagascar,2025-06-30,13,1966415135.71,0.4953,Groupe BPCE,0.4996,0.9992,gestreut,nein
Malawi,2025-06-30,11,1565894.19,0.4770,Citibank Europe plc,0.6434,0.9261,konzentriert,nein
Malaysia,2025-06-30,30,1651325105.16,0.3277,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.5232,0.8014,konzentriert,nein
Maldives,2025-06-30,9,405507321.24,0.9866,Atlantic Lux HoldCo S.à r.l.,0.9933,0.9983,konzentriert,nein
Mali,2025-06-30,15,1793029.91,0.6636,Groupe BPCE,0.8041,0.9701,konzentriert,nein
Malta,2025-06-30,38,7749603932.04,0.5236,HSBC Continental Europe,0.7183,0.8161,konzentriert,nein
Marshall Islands,2025-06-30,20,8172603459.87,0.2478,ING Groep N.V.,0.4179,0.7347,gestreut,nein
Martinique,2025-06-30,5,1393528.25,0.4667,ING Groep N.V.,0.4830,0.9999,gestreut,nein
Mauritania,2025-06-30,8,5353315.80,0.4793,Groupe BPCE,0.5746,0.9905,konzentriert,nein
Mauritius,2025-06-30,24,1586718032.28,0.1993,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.3087,0.6817,gestreut,nein
Mayotte,2025-06-30,2,155984.39,0.9895,ING Groep N.V.,0.9947,1.0000,zu_duenn,nein
Mexico,2025-06-30,33,102837743545.14,0.8742,"Banco Bilbao Vizcaya Argentaria, S.A.",0.9347,0.9616,konzentriert,nein
"Micronesia, Federated States of",2025-06-30,3,10792.60,0.9422,"Banco Comercial Português, SA",0.9704,1.0000,konzentriert,nein
"Moldova, Republic of",2025-06-30,22,158524641.07,0.9320,Intesa Sanpaolo S.p.A.,0.9651,0.9925,konzentriert,nein
Monaco,2025-06-30,26,1944485103.60,0.5906,MEDIOBANCA - BANCA DI CREDITO FINANZIARIO S.P.A.,0.7625,0.8631,konzentriert,nein
Mongolia,2025-06-30,15,437391035.44,0.3193,Groupe BPCE,0.3302,0.9780,gestreut,nein
Montenegro,2025-06-30,19,1277852991.01,0.4920,"Česká spořitelna, a.s.",0.5957,0.9909,konzentriert,nein
Montserrat,2025-06-30,1,1367.83,1.0000,"Banco Comercial Português, SA",1.0000,1.0000,zu_duenn,nein
Morocco,2025-06-30,29,1426626189.19,0.3700,RCI Banque,0.5818,0.8031,konzentriert,nein
Mozambique,2025-06-30,13,1130615182.79,0.7711,"Banco Comercial Português, SA",0.8685,0.9991,konzentriert,nein
Myanmar,2025-06-30,12,2765003.91,0.4629,ING Groep N.V.,0.6475,0.9238,konzentriert,nein
Namibia,2025-06-30,20,2782979.78,0.1344,Bayerische Landesbank,0.2060,0.5464,gestreut,nein
Nauru,2025-06-30,1,11.00,1.0000,BPER Banca S.p.A.,1.0000,1.0000,zu_duenn,nein
Nepal,2025-06-30,15,434058.37,0.4862,Nordea Bank Abp,0.6691,0.9057,konzentriert,nein
Netherlands,2025-06-30,70,225774418292.26,0.0977,Argenta Bank- en Verzekeringsgroep NV,0.2275,0.4499,gestreut,nein
New Caledonia,2025-06-30,10,389582489.14,0.8491,Groupe BPCE,0.9187,0.9974,konzentriert,nein
New Zealand,2025-06-30,34,1161821430.50,0.1863,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.2979,0.6837,gestreut,nein
Nicaragua,2025-06-30,17,706738.25,0.3143,BPER Banca S.p.A.,0.4123,0.8589,gestreut,nein
Niger,2025-06-30,8,1115081.70,0.2676,ING Groep N.V.,0.3344,0.8203,gestreut,nein
Nigeria,2025-06-30,28,717829583.57,0.4022,COMMERZBANK Aktiengesellschaft,0.5990,0.8424,konzentriert,nein
North Macedonia,2025-06-30,24,3104004724.14,0.4897,"National Bank of Greece, S.A.",0.5280,0.9924,konzentriert,nein
Northern Mariana Islands,2025-06-30,4,179827.80,0.7575,"Česká spořitelna, a.s.",0.8591,1.0000,konzentriert,nein
Norway,2025-06-30,70,172257825812.42,0.2686,Nordea Bank Abp,0.4642,0.7664,gestreut,nein
Oman,2025-06-30,24,354004207.85,0.2024,ING Groep N.V.,0.2679,0.7444,gestreut,nein
Pakistan,2025-06-30,26,200662107.88,0.8309,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.9094,0.9810,konzentriert,nein
Palau,2025-06-30,3,424076.39,0.9873,ING Groep N.V.,0.9936,1.0000,konzentriert,nein
"Palestine, State of",2025-06-30,12,9679310.87,0.9363,Citibank Europe plc,0.9673,0.9980,konzentriert,nein
Panama,2025-06-30,29,3613080544.88,0.1879,"UNICREDIT, SOCIETA' PER AZIONI",0.2763,0.7065,gestreut,nein
Papua New Guinea,2025-06-30,8,1097738.37,0.4765,ING Groep N.V.,0.6176,0.9518,konzentriert,nein
Paraguay,2025-06-30,18,14680030.95,0.4154,"CaixaBank, S.A.",0.6209,0.8321,konzentriert,nein
Peru,2025-06-30,27,18664154733.10,0.8618,"Banco Bilbao Vizcaya Argentaria, S.A.",0.9274,0.9861,konzentriert,nein
Philippines,2025-06-30,32,1128192114.62,0.7816,ING Groep N.V.,0.8816,0.9561,konzentriert,nein
Pitcairn,2025-06-30,1,49.00,1.0000,"CaixaBank, S.A.",1.0000,1.0000,zu_duenn,nein
Poland,2025-06-30,46,444628691190.32,0.2129,BNP Paribas,0.3261,0.7324,gestreut,nein
Portugal,2025-06-30,48,63778926191.39,0.3202,"CaixaBank, S.A.",0.5157,0.8212,konzentriert,nein
Puerto Rico,2025-06-30,10,204335638.95,0.6461,ING Groep N.V.,0.7904,0.9950,konzentriert,nein
Qatar,2025-06-30,31,3243674342.21,0.3545,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.5710,0.7588,konzentriert,nein
Romania,2025-06-30,59,68965798560.49,0.2050,Société générale S.A.,0.3466,0.6963,gestreut,nein
Russian Federation,2025-06-30,43,11616114374.17,0.3669,Raiffeisen Bank International AG,0.5465,0.8723,konzentriert,nein
Rwanda,2025-06-30,15,3593721.29,0.2486,Citibank Europe plc,0.4225,0.7330,gestreut,nein
Réunion,2025-06-30,11,3639282.18,0.4742,ING Groep N.V.,0.6390,0.9431,konzentriert,nein
Saint Barthélemy,2025-06-30,2,4451.00,0.5647,"CaixaBank, S.A.",0.6798,1.0000,zu_duenn,nein
"Saint Helena, Ascension and Tristan da Cunha",2025-06-30,1,2.36,1.0000,"Česká spořitelna, a.s.",1.0000,1.0000,zu_duenn,nein
Saint Kitts and Nevis,2025-06-30,8,4050647.50,0.7350,Citibank Europe plc,0.8428,0.9999,konzentriert,nein
Saint Lucia,2025-06-30,4,272186.31,0.9859,Groupe BPCE,0.9929,1.0000,konzentriert,nein
Saint Martin (French part),2025-06-30,4,696299.10,0.9824,Argenta Bank- en Verzekeringsgroep NV,0.9911,0.9993,konzentriert,nein
Saint Vincent and the Grenadines,2025-06-30,4,20459.98,0.2630,Groupe BPCE,0.3424,0.8097,gestreut,nein
Samoa,2025-06-30,3,523562.54,0.5952,Nordea Bank Abp,0.7205,1.0000,konzentriert,nein
San Marino,2025-06-30,14,112283581.16,0.3339,Intesa Sanpaolo S.p.A.,0.4008,0.9582,gestreut,nein
Sao Tome and Principe,2025-06-30,4,1325368.41,0.7150,"Banco Comercial Português, SA",0.8286,1.0000,konzentriert,nein
Saudi Arabia,2025-06-30,29,5688680756.27,0.1814,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.2196,0.6488,gestreut,nein
Senegal,2025-06-30,17,221481915.91,0.2182,ING Groep N.V.,0.2923,0.7367,gestreut,nein
Serbia,2025-06-30,30,19234967649.76,0.2412,Intesa Sanpaolo S.p.A.,0.2957,0.7661,gestreut,nein
Seychelles,2025-06-30,21,26444742.89,0.4586,"Akciju sabiedrība ""Citadele banka""",0.4823,0.9779,gestreut,nein
Sierra Leone,2025-06-30,8,89800.04,0.7278,Nordea Bank Abp,0.8437,0.9849,konzentriert,nein
Singapore,2025-06-30,38,27634233427.56,0.1575,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.2509,0.6142,gestreut,nein
Sint Maarten (Dutch part),2025-06-30,8,1333157.74,0.5410,ING Groep N.V.,0.6956,0.9923,konzentriert,nein
Slovakia,2025-06-30,60,94437691214.33,0.2780,Intesa Sanpaolo S.p.A.,0.3773,0.8719,gestreut,nein
Slovenia,2025-06-30,52,8276724918.52,0.2628,Intesa Sanpaolo S.p.A.,0.3132,0.8830,gestreut,nein
Solomon Islands,2025-06-30,3,254690536.14,0.5011,Natixis,0.5232,1.0000,konzentriert,nein
Somalia,2025-06-30,6,19814.01,0.7160,Nordea Bank Abp,0.8424,0.9435,konzentriert,nein
South Africa,2025-06-30,31,462399695.77,0.1348,Intesa Sanpaolo S.p.A.,0.2815,0.5151,gestreut,nein
South Georgia and the South Sandwich Islands,2025-06-30,1,1087.38,1.0000,"Česká spořitelna, a.s.",1.0000,1.0000,zu_duenn,nein
South Sudan,2025-06-30,3,736625.56,0.9924,Nordea Bank Abp,0.9962,1.0000,konzentriert,nein
Spain,2025-06-30,54,151074486037.36,0.1507,ING Groep N.V.,0.2485,0.6181,gestreut,nein
Sri Lanka,2025-06-30,23,89710502.87,0.8669,ING Groep N.V.,0.9305,0.9744,konzentriert,nein
Sudan,2025-06-30,7,595435.91,0.9221,Nordea Bank Abp,0.9599,0.9902,konzentriert,nein
Suriname,2025-06-30,9,83455690.44,0.9982,ING Groep N.V.,0.9991,1.0000,konzentriert,nein
Svalbard and Jan Mayen,2025-06-30,3,168742.86,0.9458,Nordea Bank Abp,0.9723,1.0000,konzentriert,nein
Sweden,2025-06-30,67,218939884220.44,0.3242,Nordea Bank Abp,0.5006,0.8261,konzentriert,nein
Switzerland,2025-06-30,55,83233116361.20,0.1227,ING Groep N.V.,0.2569,0.5168,gestreut,nein
Syrian Arab Republic,2025-06-30,11,284451.68,0.7661,Nordea Bank Abp,0.8721,0.9718,konzentriert,nein
"Taiwan, Province of China",2025-06-30,25,3176080296.30,0.3934,ING Groep N.V.,0.5234,0.9192,konzentriert,nein
Tajikistan,2025-06-30,14,327190.43,0.3331,Bayerische Landesbank,0.4831,0.9130,gestreut,nein
"Tanzania, United Republic of",2025-06-30,22,12091709.33,0.1912,Citibank Europe plc,0.3318,0.6662,gestreut,nein
