lei,bank_name,country,scope,refPeriod,rahmenwerk,submission_ts,im_xbrl_bestand,paket_mb,n_pdf,n_seiten,n_zeichen,zeichen_je_seite,textebene,sprache,sprach_abstand,sprach_woerter,sprach_urteil,n_offengelegt,n_ausgelassen,quote_gegen_erwartung,trea_eur,groessenklasse,zeichen_je_template,fehler
5299000R7WZOVIFHLN21,BFS SozialFinanz AG,DE,CON,2025-12-31,P3REMDISDOCS,20260512110919456,true,0.216,1,14,33681,2405.8,ja,de,234.18,2276,landessprache,11,65,0.0,5268000000.0,mittel,3062,
5299001ADI8FLGT0GU28,Sparkasse KölnBonn,DE,IND,2025-12-31,P3NONREMDISDOCS,20260616094800000,true,0.607,2,62,166111,2679.2,ja,de,170.78,1903,landessprache,14,70,0.0,11040000000.0,mittel,11865,
5299001ADI8FLGT0GU28,Sparkasse KölnBonn,DE,IND,2025-12-31,P3REMDISDOCS,20260616095000000,true,0.23,1,21,54840,2611.4,ja,de,225.55,2168,landessprache,14,70,0.0,11040000000.0,mittel,3917,
5299001PEMDU9N24CH60,DELAVSKA HRANILNICA d.d. LJUBLJANA,SI,CON,2025-12-31,P3NONREMDISDOCS,20260513131452510,true,2.006,7,78,238476,3057.4,ja,sl,74.98,2694,landessprache,0,76,1.0,725400000.0,klein,,
5299001PEMDU9N24CH60,DELAVSKA HRANILNICA d.d. LJUBLJANA,SI,CON,2025-12-31,P3REMDISDOCS,20260512131452512,true,0.146,1,3,10919,3639.7,ja,sl,83.33,1464,landessprache,0,76,1.0,725400000.0,klein,,
52990026HQOTT4AJP655,GLS Gemeinschaftsbank e.G.,DE,IND,2025-12-31,P3NONREMDISDOCS,20260623154837413,true,0.39,1,36,78303,2175.1,ja,de,198.92,2408,landessprache,12,64,0.0,6370000000.0,mittel,6525,
52990026HQOTT4AJP655,GLS Gemeinschaftsbank e.G.,DE,IND,2025-12-31,P3REMDISDOCS,20260623154837413,true,0.141,1,6,6137,1022.8,ja,de,102.82,603,landessprache,12,64,0.0,6370000000.0,mittel,511,
5299002GPCR602QYJC04,KfW Beteiligungsholding GmbH,DE,CON,2025-06-30,P3NONREMDISDOCS,20260127080933555,true,0.344,1,11,22340,2030.9,ja,de,178.28,2440,landessprache,2,53,0.9091,21890000000.0,mittel,11170,
5299002GPCR602QYJC04,KfW Beteiligungsholding GmbH,DE,CON,2025-12-31,P3NONREMDISDOCS,20260417153843600,true,1.354,1,217,581005,2677.4,ja,de,176.81,2234,landessprache,45,28,0.0882,23590000000.0,mittel,12911,
52990033C5FUEN4LMC06,BANCA POPOLARE DELL'ALTO ADIGE SOCIETA' PER AZIONI (IN TEDESCO SUDTIROLER VOLKSBANK A.G.),IT,IND,2025-12-31,P3NONREMDISDOCS,20260622110956869,true,1.922,1,115,399734,3475.9,ja,it,154.03,1675,landessprache,27,51,0.0,5551000000.0,mittel,14805,
52990033C5FUEN4LMC06,BANCA POPOLARE DELL'ALTO ADIGE SOCIETA' PER AZIONI (IN TEDESCO SUDTIROLER VOLKSBANK A.G.),IT,IND,2025-12-31,P3REMDISDOCS,20260622113849573,true,0.788,1,33,81013,2454.9,ja,it,136.48,2667,landessprache,27,51,0.0,5551000000.0,mittel,3000,
52990045V2BWJN669Q34,Wüstenrot Wohnungswirtschaft registrierte Genossenschaft mit beschränkter Haftung,AT,CON,2025-12-31,P3NONREMDISDOCS,20251203085544759,true,0.88,1,134,236517,1765.1,ja,en,203.65,2190,englisch,32,57,0.25,2958000000.0,klein,7391,
5299004R4U60UMXLSE36,Sparkasse Karlsruhe,DE,IND,2025-12-31,P3NONREMDISDOCS,20260623141652663,true,0.348,1,36,80694,2241.5,ja,de,167.31,2062,landessprache,7,53,0.0,8563000000.0,mittel,11528,
