lei,scope,refPeriod,bank_name,country,institution_type,szenario,szenario_label,delta_eve_eur,delta_nii_eur,tier1_eur,quote_eve,quote_nii,sot_eve,sot_nii,vorbehalt
213800A1O379I6DMCU10,IND,2025-06-30,APS BANK P.L.C.,Malta,Large highest EEA,0010,Parallelverschiebung hoch,-20065,1930,282229081,-0.0001,0.0000,nein,nein,
213800A1O379I6DMCU10,IND,2025-06-30,APS BANK P.L.C.,Malta,Large highest EEA,0020,Parallelverschiebung runter,9932,-1930,282229081,0.0000,-0.0000,nein,nein,
213800A1O379I6DMCU10,IND,2025-06-30,APS BANK P.L.C.,Malta,Large highest EEA,0030,Steepener,9976,,282229081,0.0000,,nein,,
213800A1O379I6DMCU10,IND,2025-06-30,APS BANK P.L.C.,Malta,Large highest EEA,0040,Flattener,3,,282229081,0.0000,,nein,,
213800A1O379I6DMCU10,IND,2025-06-30,APS BANK P.L.C.,Malta,Large highest EEA,0050,kurze Zinsen hoch,-6922,,282229081,-0.0000,,nein,,
213800A1O379I6DMCU10,IND,2025-06-30,APS BANK P.L.C.,Malta,Large highest EEA,0060,kurze Zinsen runter,7458,,282229081,0.0000,,nein,,
213800A1O379I6DMCU10,IND,2025-12-31,APS BANK P.L.C.,Malta,Large highest EEA,0010,Parallelverschiebung hoch,-27511,-3709,326890463,-0.0001,-0.0000,nein,nein,
213800A1O379I6DMCU10,IND,2025-12-31,APS BANK P.L.C.,Malta,Large highest EEA,0020,Parallelverschiebung runter,18663,3701,326890463,0.0001,0.0000,nein,nein,
213800A1O379I6DMCU10,IND,2025-12-31,APS BANK P.L.C.,Malta,Large highest EEA,0030,Steepener,15269,,326890463,0.0000,,nein,,
213800A1O379I6DMCU10,IND,2025-12-31,APS BANK P.L.C.,Malta,Large highest EEA,0040,Flattener,-2961,,326890463,-0.0000,,nein,,
213800A1O379I6DMCU10,IND,2025-12-31,APS BANK P.L.C.,Malta,Large highest EEA,0050,kurze Zinsen hoch,-12103,,326890463,-0.0000,,nein,,
213800A1O379I6DMCU10,IND,2025-12-31,APS BANK P.L.C.,Malta,Large highest EEA,0060,kurze Zinsen runter,14597,,326890463,0.0000,,nein,,
213800DBQIB6VBNU5C64,CON,2025-06-30,Alpha Bank S.A.,Greece,Large highest EEA,0010,Parallelverschiebung hoch,-533931938,-121511922,5620873700,-0.0950,-0.0216,nein,nein,
213800DBQIB6VBNU5C64,CON,2025-06-30,Alpha Bank S.A.,Greece,Large highest EEA,0020,Parallelverschiebung runter,457433838,-150319533,5620873700,0.0814,-0.0267,nein,nein,
