institution_type,template_id,template_title,n_institute,frequenz,muster_modal,anteil_modal,eindeutig,n_vierteljaehrlich,n_halbjaehrlich,n_jaehrlich,n_nie,n_uneinheitlich
Large subsidiaries,00.02,Accompanying narrative CONDIS,21,uneinheitlich,0000,0.476,nein,5,2,1,10,3
Large subsidiaries,00.03,Accompanying narrative ESGDIS,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,00.04,Accompanying narrative IRRBBDIS,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,00.05,Accompanying narrative MREL/TLACDIS,1,uneinheitlich,1111,1.0,nein,1,0,0,0,0
Large subsidiaries,00.06,Accompanying narrative G-SIIs,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,01.00,Template EU CAE1 – Exposures to crypto-assets,21,nie,0000,0.905,ja,0,0,2,19,0
Large subsidiaries,02.00,EU CCR1 – Analysis of CCR exposure by approach,21,uneinheitlich,1010,0.476,nein,0,10,1,9,1
Large subsidiaries,03.00,EU CCR3 – Standardised approach – CCR exposures by regulatory exposure class and risk weights,21,uneinheitlich,0000,0.524,nein,0,8,1,11,1
Large subsidiaries,04.00,EU CCR4 – IRB approach – CCR exposures by exposure class and PD scale (II),21,nie,0000,0.667,ja,0,7,0,14,0
Large subsidiaries,05.00,EU CCR5 – Composition of collateral for CCR exposures (II),21,uneinheitlich,0000,0.571,nein,0,9,0,12,0
Large subsidiaries,06.00,EU CCR6 – Credit derivatives exposures,21,nie,0000,0.762,ja,0,5,0,16,0
Large subsidiaries,07.00,EU CCR7 – RWEA flow statements of CCR exposures under the IMM,21,uneinheitlich,0000,0.571,nein,7,0,0,12,2
Large subsidiaries,08.00,EU CCR8 – Exposures to CCPs,21,uneinheitlich,0000,0.524,nein,0,8,1,11,1
Large subsidiaries,09.01,EU-SEC1 - Securitisation exposures in the non-trading book,21,nie,0000,0.619,ja,0,8,0,13,0
Large subsidiaries,09.02,EU-SEC2 - Securitisation exposures in the trading book,21,nie,0000,0.857,ja,0,3,0,18,0
Large subsidiaries,09.03,EU-SEC3 - Securitisation exposures in the non-trading book and associated regulatory capital requirements - institution acting as originator or as sponsor,21,nie,0000,0.714,ja,0,6,0,15,0
Large subsidiaries,09.04,EU-SEC4 - Securitisation exposures in the non-trading book and associated regulatory capital requirements - institution acting as investor,21,nie,0000,0.762,ja,0,5,0,16,0
Large subsidiaries,09.05,EU-SEC5 - Exposures securitised by the institution - Exposures in default and specific credit risk adjustments,21,nie,0000,0.667,ja,0,7,0,14,0
Large subsidiaries,10.00,EU MR1 - Market risk under the standardised approach,21,uneinheitlich,0000,0.571,nein,0,7,1,12,1
