lei,scope,refPeriod,bank_name,country,institution_type,kredite_eur,npe_eur,npl_quote,forborne_performing_eur,vorstufe_quote,forborne_non_performing_eur,npf_quote,vorstufe_verhaeltnis,wb_npe_eur,wb_vorzeichen,deckungsquote,npl_unter_median,fruehwarnung
254900WR3I1Z9NPC7D84,CON,2025-12-31,Kvika banki hf.,Iceland,Other highest EEA,1426289270.70,53315691.10,0.037381,8717613.10,0.006112,21175837.20,0.014847,0.1635,-12854692.20,negativ,0.241105,nein,nein
2594000ZNGGQZXZKXH36,CON,2025-12-31,VELOBANK SA,Poland,Other highest EEA,4682656757.54,264346430.30,0.056452,25833229.54,0.005517,69909205.69,0.014929,0.0977,-184205826.09,negativ,0.696835,nein,nein
259400BILZFH923Q1N56,IND,2025-12-31,WARMINSKO - MAZURSKI BANK SPOLDZIELCZY,Poland,Other highest EEA,175886436.49,2495602.60,0.014189,,,,,,1490861.60,positiv,0.597395,ja,nein
259400DAAAR5M4A6SI23,IND,2025-12-31,Bank Pocztowy S.A.,Poland,Other highest EEA,1154254906.55,50356377.09,0.043627,4233478.17,0.003668,2792416.47,0.002419,0.0841,36392147.37,positiv,0.722692,nein,nein
259400DZXF7UJKK2AY35,CON,2025-12-31,mBank S.A.,Poland,Large subsidiaries,35535744340.97,1097269151.56,0.030878,270243307.13,0.007605,387736182.92,0.010911,0.2463,-589641838.46,negativ,0.537372,nein,nein
259400L03ZTD1W99FZ91,IND,2025-12-31,BANK SPOLDZIELCZY W BRODNICY,Poland,Other highest EEA,392581530.44,11954256.62,0.030450,241.89,0.000001,2904861.78,0.007399,0.0000,7772951.00,positiv,0.650225,nein,nein
259400LGXW3K0GDAG361,CON,2025-12-31,Santander Bank Polska S.A.,Poland,Large subsidiaries,43402335605.03,1453250725.23,0.033483,522019307.99,0.012027,440444244.53,0.010148,0.3592,-695870347.85,negativ,0.478837,nein,nein
259400QHDOZWMJ103294,CON,2025-12-31,ALIOR BANK S.A.,Poland,Other highest EEA,16691020230.00,911155860.00,0.054590,204927150.00,0.012278,241174380.00,0.014449,0.2249,-459131580.00,negativ,0.503900,nein,nein
259400WNAOMT2E4OIS38,CON,2025-12-31,NEST BANK S.A.,Poland,Other highest EEA,1219802.21,127576.27,0.104588,227.91,0.000187,4411.74,0.003617,0.0018,-79161.11,negativ,0.620500,nein,nein
259400YLRTOBISHBVX41,CON,2025-12-31,ING Bank Slaski S.A.,Poland,Large subsidiaries,48277186111.32,1616128652.99,0.033476,626640025.54,0.012980,813687569.54,0.016854,0.3877,-794346270.08,negativ,0.491512,nein,nein
