lei,scope,refPeriod,bank_name,country,institution_type,identified_staff,mitarbeiter,mitarbeiter_stand,wikidata_id,anteil,erwarteter_anteil,faktor_gegen_erwartung,vorbehalt
549300L1IEXJYJ2NUV45,IND,2025-12-31,Sparekassen Danmark,Denmark,Other highest EEA,34,1346,2022-01-01,Q23784306,0.025260,0.058735,0.430,rem_befund
549300NYKK9MWM7GGW15,CON,2025-12-31,ING Groep N.V.,Netherlands,Large highest EEA,768,64298,2025-01-01,Q645708,0.011944,0.008500,1.405,rem_befund
549300OMTXWX1144LP69,IND,2025-12-31,"Akciju sabiedrība ""Reģionālā investīciju banka""",Latvia,Other highest EEA,26,137,2023-01-01,Q104429630,0.189781,0.184079,1.031,
549300Q3OIWRHQUQM052,CON,2025-12-31,SpareBank 1 Sør-Norge,Norway,Large highest EEA,96,953,2019-01-01,Q7573553,0.100735,0.069802,1.443,
549300RG3H390KEL8896,CON,2025-12-31,Banca Transilvania,Romania,Large highest EEA,120,9547,2023-12-31,Q806161,0.012569,0.022057,0.570,rem_befund
549300SBPFE9JX7N8J82,IND,2025-12-31,AB SEB bankas,Lithuania,Large subsidiaries,84,1399,2024-01-01,Q7389567,0.060043,0.057612,1.042,
549300TK038P6EV4YU51,CON,2025-12-31,AB Artea bankas,Lithuania,Large highest EEA,44,481,2012-01-01,Q391518,0.091476,0.098248,0.931,rem_befund
549300TL5406IC1XKD09,CON,2025-12-31,Saxo Bank A/S,Denmark,Large highest EEA,83,2427,2025-01-01,Q1325291,0.034199,0.043742,0.782,rem_befund
549300VRM6G42M8OWN49,CON,2025-12-31,Sparebank 1 Østlandet,Norway,Other highest EEA,82,150,,Q7573575,0.546667,0.175922,3.107,
549300YV6LXRPJO3U576,IND,2025-12-31,Merkur Andelskasse,Denmark,Other highest EEA,22,123,2022-01-01,Q12326678,0.178862,0.194271,0.921,
549300YW95G1VBBGGV07,CON,2025-12-31,"AS ""SEB banka""",Latvia,Large subsidiaries,87,871,2023-01-01,Q7389564,0.099885,0.073013,1.368,
5967007LIEEXZX51WW28,CON,2025-12-31,SPAREBANKEN ØST,Norway,Other highest EEA,26,180,,Q17082672,0.144444,0.160596,0.899,
5967007LIEEXZX8UHK11,CON,2025-12-31,SPAREBANK 1 SOGN OG FJORDANE,Norway,Other highest EEA,15,309,2026-05-12,Q4573634,0.048544,0.122576,0.396,
724500PMK2A2M1SQQ228,CON,2025-12-31,Triodos Bank N.V.,Netherlands,Other highest EEA,49,1271,2016-12-31,Q688452,0.038552,0.060443,0.638,rem_befund
7CUNS533WID6K7DGFI87,CON,2025-12-31,"CaixaBank, S.A.",Spain,Large highest EEA,367,35736,2019-12-31,Q847225,0.010270,0.011401,0.901,
7LTWFZYICNSX8D621K86,CON,2025-12-31,DEUTSCHE BANK AKTIENGESELLSCHAFT,Germany,Large highest EEA,1374,90130,2023-12-31,Q66048,0.015245,0.007180,2.123,
851WYGNLUQLFZBSYGB56,CON,2025-12-31,COMMERZBANK Aktiengesellschaft,Germany,Large highest EEA,994,38565,2023-12-31,Q1113764,0.025775,0.010975,2.348,
96950041VJ1QP0B69503,CON,2025-12-31,Crédit mutuel Arkéa,France,Large subsidiaries,95,10000,,Q3006236,0.009500,0.021551,0.441,
9KOGW2C2FCIOJQ7FF485,CON,2025-12-31,"Česká spořitelna, a.s.",Czech,Large subsidiaries,180,9829,2023-01-01,Q341100,0.018313,0.021738,0.842,
9ZHRYM6F437SQJ6OUG95,CON,2025-12-31,Raiffeisen Bank International AG,Austria,Large highest EEA,1594,50000,2016-12-31,Q2127528,0.031880,0.009639,3.307,
BFXS5XCH7N0Y05NIXW11,CON,2025-12-31,ABN AMRO Bank N.V.,Netherlands,Large highest EEA,375,20872,2023-12-31,Q287471,0.017967,0.014918,1.204,
D1HEB8VEU6D9M8ZUXG17,CON,2025-12-31,UniCredit Bank Austria AG,Austria,Large subsidiaries,222,35534,2015-12-31,Q697619,0.006248,0.011434,0.546,
DIZES5CFO5K3I5R58746,CON,2025-12-31,Landesbank Hessen-Thüringen Girozentrale,Germany,Large highest EEA,457,6148,2015-12-31,Q464702,0.074333,0.027485,2.705,
DSNHHQ2B9X5N6OUJ1236,CON,2025-12-31,Norddeutsche Landesbank - Girozentrale -,Germany,Large highest EEA,31,6427,2016-12-31,Q561418,0.004823,0.026882,0.179,rem_befund
DZZ47B9A52ZJ6LT6VV95,CON,2025-12-31,Deutsche Pfandbriefbank AG,Germany,Large highest EEA,95,824,2015-12-31,Q15857244,0.115291,0.075067,1.536,rem_befund
