lei,scope,bank_name,country,institution_type,template_id,template_title,frequenz,frequenz_n_institute,frequenz_eindeutig,lage,erwartung,n_erwartet,n_offengelegt,urteil,n_signatur_geteilt,einzelfall
213800DBQIB6VBNU5C64,CON,Alpha Bank S.A.,Greece,Large highest EEA,02.00,EU CCR1 – Analysis of CCR exposure by approach,halbjaehrlich,58,ja,101-,1010,2,2,kalendertreu,0,
213800DBQIB6VBNU5C64,CON,Alpha Bank S.A.,Greece,Large highest EEA,03.00,EU CCR3 – Standardised approach – CCR exposures by regulatory exposure class and risk weights,halbjaehrlich,58,ja,101-,1010,2,2,kalendertreu,0,
213800DBQIB6VBNU5C64,CON,Alpha Bank S.A.,Greece,Large highest EEA,04.00,EU CCR4 – IRB approach – CCR exposures by exposure class and PD scale (I),halbjaehrlich,58,ja,000-,1010,2,0,dauerhaft,0,
213800DBQIB6VBNU5C64,CON,Alpha Bank S.A.,Greece,Large highest EEA,05.00,EU CCR5 – Composition of collateral for CCR exposures (I),halbjaehrlich,58,ja,101-,1010,2,2,kalendertreu,0,
213800DBQIB6VBNU5C64,CON,Alpha Bank S.A.,Greece,Large highest EEA,08.00,EU CCR8 – Exposures to CCPs,halbjaehrlich,58,ja,101-,1010,2,2,kalendertreu,0,
213800DBQIB6VBNU5C64,CON,Alpha Bank S.A.,Greece,Large highest EEA,09.01,EU-SEC1 - Securitisation exposures in the non-trading book,halbjaehrlich,58,ja,101-,1010,2,2,kalendertreu,0,
213800DBQIB6VBNU5C64,CON,Alpha Bank S.A.,Greece,Large highest EEA,10.00,EU MR1 - Market risk under the standardised approach,halbjaehrlich,58,ja,101-,1010,2,2,kalendertreu,0,
213800DBQIB6VBNU5C64,CON,Alpha Bank S.A.,Greece,Large highest EEA,24.00,EU CR4 – standardised approach – Credit risk exposure and CRM effects,halbjaehrlich,58,ja,101-,1010,2,2,kalendertreu,0,
213800DBQIB6VBNU5C64,CON,Alpha Bank S.A.,Greece,Large highest EEA,25.00,EU CR5 – standardised approach,halbjaehrlich,58,ja,101-,1010,2,2,kalendertreu,0,
213800DBQIB6VBNU5C64,CON,Alpha Bank S.A.,Greece,Large highest EEA,26.00,EU CR6 – IRB approach – Credit risk exposures by exposure class and PD range (I),halbjaehrlich,58,ja,000-,1010,2,0,dauerhaft,0,
