url,lei,consolidation,country,module,refdate,submission_ts,baseCurrency,decimalsMonetary,refPeriod,entityID
https://errp.eba.europa.eu/public-documents/CODIS/input/1FOLRR5RWTWWI397R131.IND_SE_PILLAR3020000_CODIS_2025-12-31_20260521070928002.zip,1FOLRR5RWTWWI397R131,IND,SE,020000,2025-12-31,20260521070928002,iso4217:SEK,-3,2025-12-31,rs:1FOLRR5RWTWWI397R131.IND
https://errp.eba.europa.eu/public-documents/CODIS/input/1FOLRR5RWTWWI397R131.IND_SE_PILLAR3020100_CODIS_2026-03-31_20260618013541000.zip,1FOLRR5RWTWWI397R131,IND,SE,020100,2026-03-31,20260618013541000,iso4217:SEK,-3,2026-03-31,rs:1FOLRR5RWTWWI397R131.IND
https://errp.eba.europa.eu/public-documents/CODIS/input/21380033CFFM2V1ZCK65.CON_MT_PILLAR3020000_CODIS_2025-12-31_20260424141111218.zip,21380033CFFM2V1ZCK65,CON,MT,020000,2025-12-31,20260424141111218,iso4217:EUR,-6,2025-12-31,rs:21380033CFFM2V1ZCK65.CON
https://errp.eba.europa.eu/public-documents/CODIS/input/21380057HUGFEAF25W84.CON_SE_PILLAR3020000_CODIS_2025-06-30_20260205164528910.zip,21380057HUGFEAF25W84,CON,SE,020000,2025-06-30,20260205164528910,iso4217:EUR,-3,2025-06-30,rs:21380057HUGFEAF25W84.CON
https://errp.eba.europa.eu/public-documents/CODIS/input/21380057HUGFEAF25W84.CON_SE_PILLAR3020000_CODIS_2025-12-31_20260402095742234.zip,21380057HUGFEAF25W84,CON,SE,020000,2025-12-31,20260402095742234,iso4217:SEK,-3,2025-12-31,rs:21380057HUGFEAF25W84.CON
https://errp.eba.europa.eu/public-documents/CODIS/input/2138005M92IEIQVEL297.CON_EE_PILLAR3020000_CODIS_2025-06-30_20260222173827032.zip,2138005M92IEIQVEL297,CON,EE,020000,2025-06-30,20260222173827032,iso4217:EUR,-3,2025-06-30,rs:2138005M92IEIQVEL297.CON
https://errp.eba.europa.eu/public-documents/CODIS/input/2138005M92IEIQVEL297.CON_EE_PILLAR3020000_CODIS_2025-12-31_20260302165627032.zip,2138005M92IEIQVEL297,CON,EE,020000,2025-12-31,20260302165627032,iso4217:EUR,-3,2025-12-31,rs:2138005M92IEIQVEL297.CON
https://errp.eba.europa.eu/public-documents/CODIS/input/2138005MGIT3X9ZTMP37.IND_DK_PILLAR3020000_CODIS_2025-12-31_20260225114311736.zip,2138005MGIT3X9ZTMP37,IND,DK,020000,2025-12-31,20260225114311736,iso4217:DKK,-3,2025-12-31,rs:2138005MGIT3X9ZTMP37.IND
https://errp.eba.europa.eu/public-documents/CODIS/input/2138007F5HA5FFJROB80.CON_LV_PILLAR3020000_CODIS_2025-12-31_20260522170313364.zip,2138007F5HA5FFJROB80,CON,LV,020000,2025-12-31,20260522170313364,iso4217:EUR,2,2025-12-31,rs:2138007F5HA5FFJROB80.CON
https://errp.eba.europa.eu/public-documents/CODIS/input/2138007F5HA5FFJROB80.CON_LV_PILLAR3020000_CODIS_2025-12-31_20260527125254835.zip,2138007F5HA5FFJROB80,CON,LV,020000,2025-12-31,20260527125254835,iso4217:EUR,-3,2025-12-31,rs:2138007F5HA5FFJROB80.CON
