entityID,lei,scope,refPeriod,bank_name,country,institution_type,deklaration,n_deklariert,n_offengelegt,n_ausgelassen,quote_roh,n_erwartbar,n_gegen_erwartung,quote_gegen_erwartung,n_art432_2,n_uneinheitlich,n_untypisch,n_false_mit_daten,n_true_ohne_daten,n_signatur_geteilt,templates_gegen_erwartung
rs:549300ZBZQ6M21ZGGY79.IND,549300ZBZQ6M21ZGGY79,IND,2025-12-31,China Merchants Bank (Europe) S.A,Luxembourg,Other highest EEA,stimmig,76,9,67,0.8816,8,1,0.125,1,38,30,0,0,18,66.02
rs:549300ZEF3QWM810M319.IND,549300ZEF3QWM810M319,IND,2025-12-31,Ziklo Bank AB,Sweden,Other highest EEA,stimmig,78,37,41,0.5256,9,1,0.1111,1,39,30,0,0,18,66.02
rs:549300ZHFZ4CSK7VS460.CON,549300ZHFZ4CSK7VS460,CON,2025-06-30,Privredna Banka Zagreb d.d.,Croatia,Large subsidiaries,stimmig,63,3,60,0.9524,1,0,0.0,0,34,28,0,0,0,
rs:549300ZHFZ4CSK7VS460.CON,549300ZHFZ4CSK7VS460,CON,2025-12-31,Privredna Banka Zagreb d.d.,Croatia,Large subsidiaries,stimmig,86,70,16,0.186,22,0,0.0,0,44,20,0,5,0,
rs:549300ZK53CNGEEI6A29.IND,549300ZK53CNGEEI6A29,IND,2025-06-30,J.P. Morgan SE,Germany,Large highest EEA,stimmig,63,3,60,0.9524,12,11,0.9167,1,29,22,0,0,4,02.00|24.00|25.00|60.00|66.01|70.00|71.00|72.00|73.00|74.00|90.01
rs:549300ZK53CNGEEI6A29.IND,549300ZK53CNGEEI6A29,IND,2025-09-30,J.P. Morgan SE,Germany,Large highest EEA,stimmig,8,1,7,0.875,0,0,,0,0,0,0,0,0,
rs:549300ZK53CNGEEI6A29.IND,549300ZK53CNGEEI6A29,IND,2025-12-31,J.P. Morgan SE,Germany,Large highest EEA,stimmig,86,50,36,0.4186,40,2,0.05,0,43,3,0,0,7,90.01|91.00
rs:549300ZOE0EU2VKF6M35.IND,549300ZOE0EU2VKF6M35,IND,2025-12-31,Lombard Odier (Europe) S.A.,Luxembourg,Other highest EEA,stimmig,60,9,51,0.85,5,0,0.0,0,29,26,0,2,0,
rs:5967007LIEEXZX51WW28.CON,5967007LIEEXZX51WW28,CON,2025-12-31,SPAREBANKEN ØST,Norway,Other highest EEA,stimmig,86,44,42,0.4884,11,1,0.0909,1,45,30,0,3,18,66.02
rs:5967007LIEEXZX5PU005.CON,5967007LIEEXZX5PU005,CON,2025-06-30,Sparebanken Møre SPA,Norway,Other highest EEA,stimmig,55,1,54,0.9818,1,0,0.0,0,0,54,0,0,0,
rs:5967007LIEEXZX5PU005.CON,5967007LIEEXZX5PU005,CON,2025-12-31,Sparebanken Møre SPA,Norway,Other highest EEA,stimmig,79,20,59,0.7468,9,5,0.5556,2,40,30,0,0,0,66.01|66.02|80.00|82.00|91.00
rs:5967007LIEEXZX659K67.IND,5967007LIEEXZX659K67,IND,2025-12-31,DNB BOLIGKREDITT AS,Norway,Large subsidiaries,stimmig,71,13,58,0.8169,18,7,0.3889,1,35,18,0,0,0,24.00|66.02|67.01|73.00|74.00|83.01|84.01
rs:5967007LIEEXZX659K67.IND,5967007LIEEXZX659K67,IND,2026-03-31,DNB BOLIGKREDITT AS,Norway,Large subsidiaries,stimmig,54,3,51,0.9444,3,1,0.3333,0,7,44,0,0,2,73.00
rs:5967007LIEEXZX76AW36.CON,5967007LIEEXZX76AW36,CON,2025-12-31,OBOS-BANKEN AS,Norway,Other highest EEA,stimmig,84,15,69,0.8214,10,1,0.1,0,44,30,0,1,2,90.01
rs:5967007LIEEXZX8UHK11.CON,5967007LIEEXZX8UHK11,CON,2025-12-31,SPAREBANK 1 SOGN OG FJORDANE,Norway,Other highest EEA,stimmig,68,29,39,0.5735,7,1,0.1429,1,35,26,0,0,18,66.02
rs:5UMCZOEYKCVFAW8ZLO05.CON,5UMCZOEYKCVFAW8ZLO05,CON,2025-06-30,"National Bank of Greece, S.A.",Greece,Large highest EEA,stimmig,94,52,42,0.4468,22,0,0.0,0,38,34,0,0,0,
rs:5UMCZOEYKCVFAW8ZLO05.CON,5UMCZOEYKCVFAW8ZLO05,CON,2025-12-31,"National Bank of Greece, S.A.",Greece,Large highest EEA,stimmig,94,65,29,0.3085,40,0,0.0,0,48,6,0,0,0,
rs:5UMCZOEYKCVFAW8ZLO05.CON,5UMCZOEYKCVFAW8ZLO05,CON,2026-03-31,"National Bank of Greece, S.A.",Greece,Large highest EEA,stimmig,62,9,53,0.8548,3,0,0.0,0,6,45,0,1,0,
rs:635400AKJBGNS5WNQL34.CON,635400AKJBGNS5WNQL34,CON,2025-06-30,AIB Group plc,Ireland,Large highest EEA,stimmig,94,45,49,0.5213,22,0,0.0,0,38,34,0,0,0,
rs:635400AKJBGNS5WNQL34.CON,635400AKJBGNS5WNQL34,CON,2025-09-30,AIB Group plc,Ireland,Large highest EEA,stimmig,55,6,49,0.8909,3,0,0.0,0,6,46,0,0,0,
rs:635400AKJBGNS5WNQL34.CON,635400AKJBGNS5WNQL34,CON,2025-12-31,AIB Group plc,Ireland,Large highest EEA,stimmig,99,67,32,0.3232,44,0,0.0,0,49,6,0,0,0,
rs:635400AKJBGNS5WNQL34.CON,635400AKJBGNS5WNQL34,CON,2026-03-31,AIB Group plc,Ireland,Large highest EEA,stimmig,54,6,48,0.8889,3,0,0.0,0,6,45,0,0,0,
rs:635400C8EK6DRI12LJ39.CON,635400C8EK6DRI12LJ39,CON,2025-06-30,Bank of Ireland Group plc,Ireland,Large highest EEA,stimmig,94,50,44,0.4681,22,0,0.0,0,38,34,0,6,0,
rs:635400C8EK6DRI12LJ39.CON,635400C8EK6DRI12LJ39,CON,2025-09-30,Bank of Ireland Group plc,Ireland,Large highest EEA,stimmig,55,7,48,0.8727,3,0,0.0,0,6,46,0,1,0,
rs:635400C8EK6DRI12LJ39.CON,635400C8EK6DRI12LJ39,CON,2025-12-31,Bank of Ireland Group plc,Ireland,Large highest EEA,stimmig,99,72,27,0.2727,44,0,0.0,0,49,6,0,6,0,
rs:635400C8EK6DRI12LJ39.CON,635400C8EK6DRI12LJ39,CON,2026-03-31,Bank of Ireland Group plc,Ireland,Large highest EEA,stimmig,54,6,48,0.8889,3,0,0.0,0,6,45,0,0,0,
rs:635400DTNHVYGZODKQ93.CON,635400DTNHVYGZODKQ93,CON,2025-09-30,Permanent TSB Group Holdings Plc,Ireland,Large highest EEA,stimmig,55,6,49,0.8909,3,0,0.0,0,6,46,0,0,0,
rs:635400DTNHVYGZODKQ93.CON,635400DTNHVYGZODKQ93,CON,2026-03-31,Permanent TSB Group Holdings Plc,Ireland,Large highest EEA,stimmig,54,6,48,0.8889,3,0,0.0,0,6,45,0,0,0,
rs:635400F6HLXKXNJJX605.IND,635400F6HLXKXNJJX605,IND,2025-06-30,EXIM BANCA ROMANEASCA S.A.,Romania,Large highest EEA,stimmig,63,9,54,0.8571,12,4,0.3333,0,29,22,0,0,0,02.00|24.00|25.00|60.00
rs:635400F6HLXKXNJJX605.IND,635400F6HLXKXNJJX605,IND,2025-12-31,EXIM BANCA ROMANEASCA S.A.,Romania,Large highest EEA,stimmig,99,58,41,0.4141,44,3,0.0682,0,49,6,0,1,0,05.00|08.00|43.00
