ebene,entityID,lei,scope,refPeriod,template_id,bank_name,country,trea_eur,versatz_log10,zeitreihe_faktor,decimals_deklariert,anteil_erreicht_genauigkeit,n_zellen,signale,urteil,faktor_geschaetzt
report,rs:5493000LKS7B3UTF7H35.CON,5493000LKS7B3UTF7H35,CON,2025-12-31,,Bank Polska Kasa Opieki S.A.,Poland,41960000000.0,0.453,1,-6.0,0.7627,3317,,unauffaellig,
report,rs:5493000LKS7B3UTF7H35.CON,5493000LKS7B3UTF7H35,CON,2026-03-31,,Bank Polska Kasa Opieki S.A.,Poland,42250000000.0,0.102,1,-6.0,1.0,244,,unauffaellig,
report,rs:5493000LM0MZ4JPMGM90.CON,5493000LM0MZ4JPMGM90,CON,2025-06-30,,"Santander Consumer Finance, S.A.",Spain,,,,-6.0,1.0,0,,unauffaellig,
report,rs:5493000LM0MZ4JPMGM90.CON,5493000LM0MZ4JPMGM90,CON,2025-12-31,,"Santander Consumer Finance, S.A.",Spain,78330000000.0,0.39,,-6.0,0.7208,2213,,unauffaellig,
report,rs:5493000UPYR7EEHN2R94.CON,5493000UPYR7EEHN2R94,CON,2025-12-31,,"Gorenjska banka d.d., Kranj",Slovenia,1846000.0,-3.795,,-6.0,0.1814,781,versatz,verdacht,10^3
report,rs:5493000YPN33HF74SN02.IND,5493000YPN33HF74SN02,IND,2025-10-31,,Bank of Montreal Europe plc,Ireland,,,,0.0,0.0,0,,unauffaellig,
report,rs:5493001BABFV7P27OW30.CON,5493001BABFV7P27OW30,CON,2025-09-30,,"Nova Ljubljanska Banka d.d., Ljubljana",Slovenia,19120000000.0,-0.336,1,0.0,0.0,227,,unauffaellig,
report,rs:5493001BABFV7P27OW30.CON,5493001BABFV7P27OW30,CON,2026-03-31,,"Nova Ljubljanska Banka d.d., Ljubljana",Slovenia,20160000000.0,-0.395,1,0.0,0.0,229,,unauffaellig,
report,rs:5493001U1K6M7JOL5W45.CON,5493001U1K6M7JOL5W45,CON,2025-12-31,,Raiffeisen Bank csoport,Hungary,4658000000.0,-0.395,,2.0,0.0,2375,,unauffaellig,
report,rs:5493002DPKDEC2JN1Y86.CON,5493002DPKDEC2JN1Y86,CON,2025-12-31,,Sparekassen Sjælland-Fyn A/S,Denmark,2628000000.0,-0.559,,-3.0,0.9658,1218,,unauffaellig,
report,rs:5493002K643MZPQEK497.IND,5493002K643MZPQEK497,IND,2025-12-31,,Banco Bradesco Europa S.A.,Luxembourg,1854000000.0,-0.72,,-3.0,0.993,119,,unauffaellig,
report,rs:5493003BDYD5VPGUQS04.CON,5493003BDYD5VPGUQS04,CON,2025-12-31,,UniCredit Bank S.A.,Romania,10510000000.0,-0.323,,-3.0,0.8589,2142,,unauffaellig,
report,rs:5493003RJ3TPV33W0108.IND,5493003RJ3TPV33W0108,IND,2025-12-31,,Union Bancaire Privée (Europe) S.A.,Luxembourg,,-0.901,,-3.0,0.9882,166,,unauffaellig,
report,rs:5493004D82XDFVPWQJ91.IND,5493004D82XDFVPWQJ91,IND,2025-06-30,,Ikano Bank AB (publ),Sweden,3124000000.0,,1,-6.0,1.0,0,,unauffaellig,
report,rs:5493004D82XDFVPWQJ91.IND,5493004D82XDFVPWQJ91,IND,2025-12-31,,Ikano Bank AB (publ),Sweden,3079000000.0,-0.352,1,-6.0,0.7973,339,,unauffaellig,
report,rs:5493004WUGGU2BQI7F14.CON,5493004WUGGU2BQI7F14,CON,2025-12-31,,Landshypotek AB - gruppen,Sweden,3224000000.0,-0.692,,-4.0,0.8996,1467,,unauffaellig,
report,rs:54930056FHWP7GIWYY08.CON,54930056FHWP7GIWYY08,CON,2025-09-30,,Morgan Stanley Europe SE,Germany,,,,-6.0,1.0,0,,unauffaellig,
report,rs:54930056IRBXK0Q1FP96.CON,54930056IRBXK0Q1FP96,CON,2025-06-30,,"Abanca Corporacion Bancaria, S.A.",Spain,,-0.308,,-6.0,0.6171,2116,,unauffaellig,
report,rs:54930056IRBXK0Q1FP96.CON,54930056IRBXK0Q1FP96,CON,2025-09-30,,"Abanca Corporacion Bancaria, S.A.",Spain,39120000000.0,0.033,,-6.0,0.963,108,,unauffaellig,
report,rs:54930060Q00W1SRIUI57.IND,54930060Q00W1SRIUI57,IND,2025-12-31,,vdk bank,Belgium,1621000000.0,-0.746,,-6.0,0.822,1390,,unauffaellig,
report,rs:5493006QMFDDMYWIAM13.CON,5493006QMFDDMYWIAM13,CON,2025-06-30,,"Banco Santander, S.A.",Spain,625800000000.0,1.121,1,-6.0,0.7668,4890,,unauffaellig,
report,rs:5493006QMFDDMYWIAM13.CON,5493006QMFDDMYWIAM13,CON,2025-09-30,,"Banco Santander, S.A.",Spain,630800000000.0,1.368,1,-6.0,0.99,435,,unauffaellig,
report,rs:5493006QMFDDMYWIAM13.CON,5493006QMFDDMYWIAM13,CON,2025-12-31,,"Banco Santander, S.A.",Spain,629400000000.0,1.443,1,-6.0,0.9525,5422,,unauffaellig,
report,rs:5493006QMFDDMYWIAM13.CON,5493006QMFDDMYWIAM13,CON,2026-03-31,,"Banco Santander, S.A.",Spain,600500000000.0,1.304,1,-6.0,1.0,438,,unauffaellig,
report,rs:5493006Z4NTMNDDBGL49.IND,5493006Z4NTMNDDBGL49,IND,2025-09-30,,ECCM Bank plc,Malta,947800000.0,-1.476,,-6.0,0.858,55,,unauffaellig,
report,rs:5493007BWYDPQZLZ0Y27.CON,5493007BWYDPQZLZ0Y27,CON,2025-06-30,,HYPO NOE Landesbank für Niederösterreich und Wien AG,Austria,4683000000.0,,1,-3.0,1.0,0,,unauffaellig,
