lei,name,typ,land,signifikanz,gruppenkopf_lei,gruppenkopf_name,im_bestand,gruppe_im_bestand,einordnung,namenstreffer
52990082FUIF8HZHY732,Raiffeisenbank Wörthersee-Landskron-Gegendtal eG,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299008KTG5Y94Z10032,Raiffeisenbank Wals-Himmelreich registrierte Genossenschaft mit beschränkter Haftung,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299008NEDOORP72F645,Raiffeisenbank Region Waldviertel Mitte eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299008SBQ9VIEKB8J49,Raiffeisenbank Lochen am See eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299008X2NKH3ND4EX77,Raiffeisen Regionalbank Achensee eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
52990092G3O6HWRIDF18,Raiffeisenbank Ohlsdorf eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900990PPI3K3RDT23,Volkskreditbank AG,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299009C948WQ740IL34,Raiffeisenbank Oberes Waldviertel eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299009EHB4RBGMI5828,Raiffeisen Landesbank Kärnten und Revisionsverband eGen,CI,Austria,LSI,,,true,false,meldet_selbst,
5299009F7ZI3COCVHS41,"Raiffeisenbank Rosental, registrierte Genossenschaft mit beschränkter Haftung",CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299009I080H47W23Y06,Raiffeisenbank Region Sierning-Enns eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299009P3E3YVMYOMP72,Raiffeisenbank Pongau Mitte eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299009T4E9DGUM3SB85,Raiffeisenbank Brixen im Thale eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299009TR67CC0B9DH43,Raiffeisenbank Timelkam-Lenzing-Puchkirchen eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299009VLI8ZROIK9N78,Raiffeisenbank Region Feldbach eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900A1B1P6M9M0WA86,Raiffeisen Bank Lurnfeld-Mölltal eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900A455AYF41M8I62,Raiffeisenbank Linz-Land West eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900AIK6F1A360D784,Raiffeisenbank Eggenburg eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900AIY0IED6IR0W74,Raiffeisenbank St. Roman eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900ALBHVM45LNKA06,Raiffeisenbank Maria Schmolln-St. Johann eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900AOZMITAMK18X23,Raiffeisenbank Prambachkirchen eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900AUJCEJQ71UCR09,Raiffeisenbank Eberschwang-Pramet eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900AUL2XTLS3EM992,HYPO-BANK BURGENLAND Aktiengesellschaft,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900B11OPJRIMVPA37,RaiffeisenBank St. Ulrich - Waidring eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900B1I234XFGXB654,Raiffeisenbank Lammertal eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900B7B1J8IEHUNI05,Raiffeisenbank Nockberge eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900B8ZPQXSPCLTD68,Raiffeisenbank Alberschwende registrierte Genossenschaft mit beschränkter Haftung,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900B9P29R8W03IX88,BKS Bank AG,CI,Austria,LSI,,,true,false,meldet_selbst,
529900BE5LJFTFGTT751,Raiffeisenbank Hausmannstätten eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900BHW28OSHOYIN59,Raiffeisenbank Karnische Region eG,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900BI5KIGX6YLX375,Oberösterreichische Landesbank Aktiengesellschaft,CI,Austria,LSI,,,true,false,meldet_selbst,
529900BIJJGJJXO33652,Raiffeisenbank Unken eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900BKH5J6E9QK3O80,Raiffeisenbank Draßmarkt-Kobersdorf-St. Martin eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900BTDS34PLCQRX17,Raiffeisenbank Turnau-St. Lorenzen eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900BW63FASOB0IV66,Raiffeisenbank Ybbstal eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900C2O38FO5AWTF91,Raiffeisen Regionalbank Hall in Tirol eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900C567TZ45W7GV69,A1 Bank AG,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
