lei,bank_name,country,consolidation,refdate,submission_ts,im_xbrl_bestand,url
2138009Y59EAR7H1UO97,"Akciju sabiedrība ""Citadele banka""",LV,CON,2025-12-31,20260320130001010,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/2138009Y59EAR7H1UO97.CON_LV_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260320130001010.zip
2138009Y59EAR7H1UO97,"Akciju sabiedrība ""Citadele banka""",LV,CON,2025-12-31,20260415141501010,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/2138009Y59EAR7H1UO97.CON_LV_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260415141501010.zip
2138009Y59EAR7H1UO97,"Akciju sabiedrība ""Citadele banka""",LV,CON,2025-12-31,20260529171501010,true,https://errp.eba.europa.eu/public-documents/P3REMDISDOCS/input/2138009Y59EAR7H1UO97.CON_LV_PILLAR3010000_P3REMDISDOCS_2025-12-31_20260529171501010.zip
2138009Y59EAR7H1UO97,"Akciju sabiedrība ""Citadele banka""",LV,CON,2026-03-31,20260528150501010,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/2138009Y59EAR7H1UO97.CON_LV_PILLAR3010000_P3NONREMDISDOCS_2026-03-31_20260528150501010.zip
213800A1O379I6DMCU10,APS BANK P.L.C.,MT,IND,2025-06-30,20260127090000000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800A1O379I6DMCU10.IND_MT_PILLAR3010000_P3NONREMDISDOCS_2025-06-30_20260127090000000.zip
213800A1O379I6DMCU10,APS BANK P.L.C.,MT,IND,2025-09-30,20260128000000000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800A1O379I6DMCU10.IND_MT_PILLAR3010000_P3NONREMDISDOCS_2025-09-30_20260128000000000.zip
213800A1O379I6DMCU10,APS BANK P.L.C.,MT,IND,2025-12-31,20260402120000000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800A1O379I6DMCU10.IND_MT_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260402120000000.zip
213800A1O379I6DMCU10,APS BANK P.L.C.,MT,IND,2025-12-31,20260402120000000,true,https://errp.eba.europa.eu/public-documents/P3REMDISDOCS/input/213800A1O379I6DMCU10.IND_MT_PILLAR3010000_P3REMDISDOCS_2025-12-31_20260402120000000.zip
213800C78WI8VFJCYR09,Sparekassen Bredebro,DK,IND,2025-12-31,20260225104500000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800C78WI8VFJCYR09.IND_DK_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260225104500000.zip
213800C78WI8VFJCYR09,Sparekassen Bredebro,DK,IND,2025-12-31,20260225141500000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800C78WI8VFJCYR09.IND_DK_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260225141500000.zip
213800CBW4NPFP73ZK64,ANCORIA INVESTMENTS PLC,CY,CON,2025-12-31,20260427160800000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800CBW4NPFP73ZK64.CON_CY_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260427160800000.zip
213800CBW4NPFP73ZK64,ANCORIA INVESTMENTS PLC,CY,CON,2025-12-31,20260430131000000,true,https://errp.eba.europa.eu/public-documents/P3REMDISDOCS/input/213800CBW4NPFP73ZK64.CON_CY_PILLAR3010000_P3REMDISDOCS_2025-12-31_20260430131000000.zip
213800CQ92347ZCS9V73,"ATLÂNTICO EUROPA, SGPS, SA",PT,CON,2025-12-31,20260522174312463,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800CQ92347ZCS9V73.CON_PT_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260522174312463.zip
213800CQ92347ZCS9V73,"ATLÂNTICO EUROPA, SGPS, SA",PT,CON,2025-12-31,20260522174412463,true,https://errp.eba.europa.eu/public-documents/P3REMDISDOCS/input/213800CQ92347ZCS9V73.CON_PT_PILLAR3010000_P3REMDISDOCS_2025-12-31_20260522174412463.zip
