template_id,cell_row,cell_col,row_label,col_label,dp_41,dp_42,status
02.00,0060,0070,2b. Of which derivatives and long settlement transactions netting sets,g. Exposure value,dp456182,dp456182,stable
02.00,0060,0080,2b. Of which derivatives and long settlement transactions netting sets,h. RWEA,dp457930,dp457930,stable
02.00,0070,0030,2c. Of which from contractual cross-product netting sets,c. EEPE,dp457837,dp457837,stable
02.00,0070,0050,2c. Of which from contractual cross-product netting sets,e. Exposure value pre-CRM,dp456132,dp456132,stable
02.00,0070,0060,2c. Of which from contractual cross-product netting sets,f. Exposure value post-CRM,dp456107,dp456107,stable
02.00,0070,0070,2c. Of which from contractual cross-product netting sets,g. Exposure value,dp456187,dp456187,stable
02.00,0070,0080,2c. Of which from contractual cross-product netting sets,h. RWEA,dp457935,dp457935,stable
02.00,0080,0050,3. Financial collateral simple method (for SFTs),e. Exposure value pre-CRM,dp456124,dp456124,stable
02.00,0080,0060,3. Financial collateral simple method (for SFTs),f. Exposure value post-CRM,dp456099,dp456099,stable
02.00,0080,0070,3. Financial collateral simple method (for SFTs),g. Exposure value,dp456177,dp456177,stable
02.00,0080,0080,3. Financial collateral simple method (for SFTs),h. RWEA,dp457925,dp457925,stable
02.00,0090,0050,4. Financial collateral comprehensive method (for SFTs),e. Exposure value pre-CRM,dp456123,dp456123,stable
02.00,0090,0060,4. Financial collateral comprehensive method (for SFTs),f. Exposure value post-CRM,dp456098,dp456098,stable
02.00,0090,0070,4. Financial collateral comprehensive method (for SFTs),g. Exposure value,dp456176,dp456176,stable
02.00,0090,0080,4. Financial collateral comprehensive method (for SFTs),h. RWEA,dp457924,dp457924,stable
02.00,0100,0050,5. VaR for SFTs,e. Exposure value pre-CRM,dp456125,dp456125,stable
02.00,0100,0060,5. VaR for SFTs,f. Exposure value post-CRM,dp456100,dp456100,stable
02.00,0100,0070,5. VaR for SFTs,g. Exposure value,dp456178,dp456178,stable
02.00,0100,0080,5. VaR for SFTs,h. RWEA,dp457926,dp457926,stable
02.00,0110,0050,6. Total,e. Exposure value pre-CRM,dp456131,dp456131,stable
02.00,0110,0060,6. Total,f. Exposure value post-CRM,dp456106,dp456106,stable
02.00,0110,0070,6. Total,g. Exposure value,dp456184,dp456184,stable
02.00,0110,0080,6. Total,h. RWEA,dp457932,dp457932,stable
03.00,0010,0010,1. Central governments or central banks,a. 0%,dp3528304,dp3528304,stable
03.00,0010,0020,1. Central governments or central banks,b. 2%,dp3527665,dp3527665,stable
03.00,0010,0030,1. Central governments or central banks,c. 4%,dp3526999,dp3526999,stable
03.00,0010,0040,1. Central governments or central banks,d. 10%,dp3527056,dp3527056,stable
03.00,0010,0050,1. Central governments or central banks,e. 20%,dp3528318,dp3528318,stable
03.00,0010,0060,1. Central governments or central banks,f. 50%,dp3526990,dp3526990,stable
03.00,0010,0070,1. Central governments or central banks,g. 70%,dp3527655,dp3527655,stable
03.00,0010,0080,1. Central governments or central banks,h. 75%,dp3527047,dp3527047,stable
03.00,0010,0090,1. Central governments or central banks,i. 100%,dp3527010,dp3527010,stable
03.00,0010,0100,1. Central governments or central banks,j. 150%,dp3527037,dp3527037,stable
03.00,0010,0110,1. Central governments or central banks,k. Others,dp3527031,dp3527031,stable
03.00,0010,0120,1. Central governments or central banks,l. Total exposure value,dp3526981,dp3526981,stable
03.00,0020,0010,2. Regional government or local authorities,a. 0%,dp3526983,dp3526983,stable
03.00,0020,0020,2. Regional government or local authorities,b. 2%,dp3527661,dp3527661,stable
03.00,0020,0030,2. Regional government or local authorities,c. 4%,dp3526996,dp3526996,stable
03.00,0020,0040,2. Regional government or local authorities,d. 10%,dp3527052,dp3527052,stable
03.00,0020,0050,2. Regional government or local authorities,e. 20%,dp3528314,dp3528314,stable
03.00,0020,0060,2. Regional government or local authorities,f. 50%,dp3528310,dp3528310,stable
03.00,0020,0070,2. Regional government or local authorities,g. 70%,dp3527017,dp3527017,stable
03.00,0020,0080,2. Regional government or local authorities,h. 75%,dp3527044,dp3527044,stable
03.00,0020,0090,2. Regional government or local authorities,i. 100%,dp3527006,dp3527006,stable
03.00,0020,0100,2. Regional government or local authorities,j. 150%,dp3527003,dp3527003,stable
03.00,0020,0110,2. Regional government or local authorities,k. Others,dp3527025,dp3527025,stable
03.00,0020,0120,2. Regional government or local authorities,l. Total exposure value,dp3526977,dp3526977,stable
03.00,0030,0010,3. Public sector entities,a. 0%,dp3528299,dp3528299,stable
03.00,0030,0020,3. Public sector entities,b. 2%,dp3527662,dp3527662,stable
03.00,0030,0030,3. Public sector entities,c. 4%,dp3527020,dp3527020,stable
03.00,0030,0040,3. Public sector entities,d. 10%,dp3527053,dp3527053,stable
03.00,0030,0050,3. Public sector entities,e. 20%,dp3526992,dp3526992,stable
03.00,0030,0060,3. Public sector entities,f. 50%,dp3528311,dp3528311,stable
03.00,0030,0070,3. Public sector entities,g. 70%,dp3527174,dp3527174,stable
