datapoint_code,frequency,label,unit,template
dp455851,4,[TODO: DPM lookup] dp455851,[TODO],[TODO]
dp455852,9,[TODO: DPM lookup] dp455852,[TODO],[TODO]
dp456028,1,[TODO: DPM lookup] dp456028,[TODO],[TODO]
dp456030,1,[TODO: DPM lookup] dp456030,[TODO],[TODO]
dp456077,1,[TODO: DPM lookup] dp456077,[TODO],[TODO]
dp456098,2,[TODO: DPM lookup] dp456098,[TODO],[TODO]
dp456099,1,[TODO: DPM lookup] dp456099,[TODO],[TODO]
dp456101,1,[TODO: DPM lookup] dp456101,[TODO],[TODO]
dp456103,9,[TODO: DPM lookup] dp456103,[TODO],[TODO]
dp456106,10,[TODO: DPM lookup] dp456106,[TODO],[TODO]
dp456123,2,[TODO: DPM lookup] dp456123,[TODO],[TODO]
dp456124,1,[TODO: DPM lookup] dp456124,[TODO],[TODO]
dp456126,1,[TODO: DPM lookup] dp456126,[TODO],[TODO]
dp456128,9,[TODO: DPM lookup] dp456128,[TODO],[TODO]
dp456131,10,[TODO: DPM lookup] dp456131,[TODO],[TODO]
dp456149,1,[TODO: DPM lookup] dp456149,[TODO],[TODO]
dp456150,1,[TODO: DPM lookup] dp456150,[TODO],[TODO]
dp456157,3,[TODO: DPM lookup] dp456157,[TODO],[TODO]
dp456161,3,[TODO: DPM lookup] dp456161,[TODO],[TODO]
dp456176,2,[TODO: DPM lookup] dp456176,[TODO],[TODO]
dp456177,1,[TODO: DPM lookup] dp456177,[TODO],[TODO]
dp456179,1,[TODO: DPM lookup] dp456179,[TODO],[TODO]
dp456181,9,[TODO: DPM lookup] dp456181,[TODO],[TODO]
dp456184,10,[TODO: DPM lookup] dp456184,[TODO],[TODO]
dp456199,8,[TODO: DPM lookup] dp456199,[TODO],[TODO]
dp456200,2,[TODO: DPM lookup] dp456200,[TODO],[TODO]
dp456203,5,[TODO: DPM lookup] dp456203,[TODO],[TODO]
dp456204,8,[TODO: DPM lookup] dp456204,[TODO],[TODO]
dp456206,3,[TODO: DPM lookup] dp456206,[TODO],[TODO]
dp456207,1,[TODO: DPM lookup] dp456207,[TODO],[TODO]
dp456208,1,[TODO: DPM lookup] dp456208,[TODO],[TODO]
dp456209,3,[TODO: DPM lookup] dp456209,[TODO],[TODO]
dp456214,3,[TODO: DPM lookup] dp456214,[TODO],[TODO]
dp456249,2,[TODO: DPM lookup] dp456249,[TODO],[TODO]
dp456250,2,[TODO: DPM lookup] dp456250,[TODO],[TODO]
dp456253,2,[TODO: DPM lookup] dp456253,[TODO],[TODO]
dp456254,2,[TODO: DPM lookup] dp456254,[TODO],[TODO]
dp456451,9,[TODO: DPM lookup] dp456451,[TODO],[TODO]
dp456453,7,[TODO: DPM lookup] dp456453,[TODO],[TODO]
dp456456,4,[TODO: DPM lookup] dp456456,[TODO],[TODO]
dp456565,2,[TODO: DPM lookup] dp456565,[TODO],[TODO]
dp456567,2,[TODO: DPM lookup] dp456567,[TODO],[TODO]
dp456568,2,[TODO: DPM lookup] dp456568,[TODO],[TODO]
dp456569,2,[TODO: DPM lookup] dp456569,[TODO],[TODO]
